type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Decidueye,A3a,5,5,15,25,75,100,Core,2
Pokemon,Decidueye ex,A3,12,2,18,10,90,100,Core,2
Pokemon,Dartrix,A3a,4,10,9,50,45,95,Core,1
Pokemon,Rowlet,A3,10,0,19,0,95,95,Core,2
Pokemon,Dartrix,A3,11,5,0,25,0,25,Tech,1
Pokemon,Chingling,B1,109,4,0,20,0,20,Tech,1
Pokemon,Pheromosa,A3a,7,3,0,15,0,15,Tech,1
Pokemon,Cleffa,A4,77,1,0,5,0,5,Tech,1
Pokemon,Kartana,A3a,8,1,0,5,0,5,Tech,1
Pokemon,Rowlet,A3,9,0,1,0,5,5,Tech,2
Pokemon,Teal Mask Ogerpon ex,B2,17,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,5,15,25,75,100,Core,2
Trainer,Poké Ball,P-A,5,13,7,65,35,100,Core,1
Trainer,Professor's Research,P-A,7,1,19,5,95,100,Core,2
Trainer,Rare Candy,A3,144,0,20,0,100,100,Core,2
Trainer,Leaf Cape,A3,147,6,13,30,65,95,Core,2
Trainer,Erika,A1,219,15,1,75,5,80,Core,1
Trainer,Lillie,A3,155,12,4,60,20,80,Core,1
Trainer,Arven,B2a,91,7,0,35,0,35,Standard,1
Trainer,Quick-Grow Extract,B1a,67,7,0,35,0,35,Standard,1
Trainer,Guzma,A3,151,3,0,15,0,15,Tech,1
Trainer,Lucky Ice Pop,B2,145,1,2,5,10,15,Tech,2
Trainer,May,B1,223,3,0,15,0,15,Tech,1
Trainer,Mesagoza,B2a,93,2,0,10,0,10,Tech,1
Trainer,Rocky Helmet,A2,148,2,0,10,0,10,Tech,1
Trainer,Giant Cape,A2,147,0,1,0,5,5,Tech,2
Trainer,Hau,A3b,68,1,0,5,0,5,Tech,1
Trainer,Red Card,P-A,6,1,0,5,0,5,Tech,1
Trainer,Sabrina,A1,225,1,0,5,0,5,Tech,1
