type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Darkrai ex,A2,110,0,20,0,100,100,Core,2
Pokemon,Giratina ex,A2b,35,0,20,0,100,100,Core,2
Pokemon,Indeedee ex,B1,121,15,0,75,0,75,Standard,1
Pokemon,Mega Absol ex,B1,151,1,0,5,0,5,Tech,1
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Poké Ball,P-A,5,0,20,0,100,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Rocky Helmet,A2,148,1,19,5,95,100,Core,2
Trainer,Sabrina,A1,225,20,0,100,0,100,Core,1
Trainer,Starting Plains,B2,154,20,0,100,0,100,Core,1
Trainer,Guzma,A3,151,19,0,95,0,95,Core,1
Trainer,Mars,A2,155,18,1,90,5,95,Core,1
Trainer,Peculiar Plaza,B2,155,19,0,95,0,95,Core,1
Trainer,Red,A2b,71,19,0,95,0,95,Core,1
Trainer,Giant Cape,A2,147,18,0,90,0,90,Core,1
Trainer,Lucky Ice Pop,B2,145,17,1,85,5,90,Core,1
Trainer,Copycat,B1,225,6,0,30,0,30,Standard,1
Trainer,Pokémon Center Lady,A2b,70,2,0,10,0,10,Tech,1
Trainer,Dawn,A2,154,1,0,5,0,5,Tech,1
Trainer,Leaf,A1a,68,1,0,5,0,5,Tech,1
Trainer,Protective Poncho,B2,147,1,0,5,0,5,Tech,1
