type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Gourgeist,B2,72,0,20,0,100,100,Core,2
Pokemon,Greavard,B2a,52,0,20,0,100,100,Core,2
Pokemon,Houndstone,B2a,53,0,20,0,100,100,Core,2
Pokemon,Pumpkaboo,B2,71,0,20,0,100,100,Core,2
Pokemon,Meloetta,B2,70,0,19,0,95,95,Core,2
Pokemon,Klefki,B1,120,17,0,85,0,85,Core,1
Pokemon,Chingling,B1,109,1,0,5,0,5,Tech,1
Pokemon,Cofagrigus,B1,111,0,1,0,5,5,Tech,2
Pokemon,Yamask,B1,110,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,18,2,90,10,100,Core,1
Trainer,Peculiar Plaza,B2,155,1,19,5,95,100,Core,2
Trainer,Poké Ball,P-A,5,2,18,10,90,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Cyrus,A2,150,19,0,95,0,95,Core,1
Trainer,Giant Cape,A2,147,18,0,90,0,90,Core,1
Trainer,Sabrina,A1,225,4,0,20,0,20,Tech,1
Trainer,Red,A2b,71,1,0,5,0,5,Tech,1
