type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Guzzlord ex,A3a,43,0,20,0,100,100,Core,2
Pokemon,Indeedee ex,B1,121,0,20,0,100,100,Core,2
Pokemon,Darkrai ex,A2,110,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,20,0,100,0,100,Core,1
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Heavy Helmet,B1,219,0,20,0,100,100,Core,2
Trainer,Lucky Ice Pop,B2,145,0,20,0,100,100,Core,2
Trainer,Poké Ball,P-A,5,0,20,0,100,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Protective Poncho,B2,147,0,20,0,100,100,Core,2
Trainer,Starting Plains,B2,154,20,0,100,0,100,Core,1
Trainer,Lusamine,A3a,69,19,0,95,0,95,Core,1
Trainer,Pokémon Center Lady,A2b,70,17,2,85,10,95,Core,1
Trainer,Guzma,A3,151,18,0,90,0,90,Core,1
Trainer,Peculiar Plaza,B2,155,1,0,5,0,5,Tech,1
