type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Eevee,B1,184,0,20,0,100,100,Core,2
Pokemon,Leafeon ex,A2a,10,0,20,0,100,100,Core,2
Pokemon,Teal Mask Ogerpon ex,B2,17,9,11,45,55,100,Core,2
Pokemon,Leafeon,A2,20,13,0,65,0,65,Standard,1
Pokemon,Arboliva,B2a,9,2,0,10,0,10,Tech,1
Pokemon,Dolliv,B2a,8,2,0,10,0,10,Tech,1
Pokemon,Leafeon,A3b,2,2,0,10,0,10,Tech,1
Pokemon,Smoliv,B2a,7,2,0,10,0,10,Tech,1
Pokemon,Celebi,A4a,6,1,0,5,0,5,Tech,1
Pokemon,Dunsparce,A4,144,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,3,17,15,85,100,Core,2
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Leaf Cape,A3,147,0,20,0,100,100,Core,2
Trainer,Poké Ball,P-A,5,1,19,5,95,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Erika,A1,219,16,2,80,10,90,Core,1
Trainer,Sabrina,A1,225,12,6,60,30,90,Core,1
Trainer,Lucky Ice Pop,B2,145,9,1,45,5,50,Standard,1
Trainer,Giant Cape,A2,147,9,0,45,0,45,Standard,1
Trainer,X Speed,P-A,2,6,0,30,0,30,Standard,1
Trainer,Mesagoza,B2a,93,4,0,20,0,20,Tech,1
Trainer,Mars,A2,155,3,0,15,0,15,Tech,1
Trainer,Red,A2b,71,3,0,15,0,15,Tech,1
Trainer,Guzma,A3,151,2,0,10,0,10,Tech,1
Trainer,May,B1,223,2,0,10,0,10,Tech,1
Trainer,Quick-Grow Extract,B1a,67,2,0,10,0,10,Tech,1
Trainer,Eevee Bag,A3b,66,0,1,0,5,5,Tech,2
Trainer,Giovanni,A1,223,1,0,5,0,5,Tech,1
Trainer,Red Card,P-A,6,1,0,5,0,5,Tech,1
