type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Altaria,A4a,55,0,20,0,100,100,Core,2
Pokemon,Mantyke,A4a,23,20,0,100,0,100,Core,1
Pokemon,Mega Altaria ex,B1,102,20,0,100,0,100,Core,1
Pokemon,Swablu,B1,196,0,20,0,100,100,Core,2
Pokemon,Oricorio,A3,66,19,0,95,0,95,Core,1
Pokemon,Pichu,A4,66,0,19,0,95,95,Core,2
Pokemon,Chi-Yu,B2a,21,1,0,5,0,5,Tech,1
Pokemon,Magby,A4,32,0,1,0,5,5,Tech,2
Trainer,Copycat,B1,225,17,3,85,15,100,Core,1
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Lisia,B1,226,0,20,0,100,100,Core,2
Trainer,May,B1,223,4,16,20,80,100,Core,2
Trainer,Professor's Research,P-A,7,1,19,5,95,100,Core,2
Trainer,Sabrina,A1,225,20,0,100,0,100,Core,1
Trainer,Training Area,B2,153,20,0,100,0,100,Core,1
Trainer,Rocky Helmet,A2,148,8,0,40,0,40,Standard,1
Trainer,Giant Cape,A2,147,7,0,35,0,35,Standard,1
Trainer,Mars,A2,155,2,0,10,0,10,Tech,1
Trainer,Poké Ball,P-A,5,2,0,10,0,10,Tech,1
Trainer,Inflatable Boat,A4a,67,1,0,5,0,5,Tech,1
Trainer,Penny,B2a,92,1,0,5,0,5,Tech,1
Trainer,Red Card,P-A,6,1,0,5,0,5,Tech,1
