type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Gourgeist,B2,72,0,20,0,100,100,Core,2
Pokemon,Mega Altaria ex,B1,102,1,19,5,95,100,Core,2
Pokemon,Pumpkaboo,B2,71,0,20,0,100,100,Core,2
Pokemon,Swablu,B1,196,0,20,0,100,100,Core,2
Pokemon,Jirachi,B1,106,18,0,90,0,90,Core,1
Pokemon,Chingling,B1,109,0,17,0,85,85,Core,2
Pokemon,Meloetta,B2,70,0,3,0,15,15,Tech,2
Trainer,Copycat,B1,225,19,1,95,5,100,Core,1
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Lisia,B1,226,20,0,100,0,100,Core,1
Trainer,Poké Ball,P-A,5,20,0,100,0,100,Core,1
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Sabrina,A1,225,20,0,100,0,100,Core,1
Trainer,Mars,A2,155,18,0,90,0,90,Core,1
Trainer,Training Area,B2,153,18,0,90,0,90,Core,1
Trainer,Peculiar Plaza,B2,155,1,2,5,10,15,Tech,2
Trainer,Rocky Helmet,A2,148,1,0,5,0,5,Tech,1
