type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Heatmor,B1,44,1,19,5,95,100,Core,2
Pokemon,Mega Blaziken ex,B1,36,0,20,0,100,100,Core,2
Pokemon,Torchic,B1,33,0,20,0,100,100,Core,2
Pokemon,Combusken,B1,34,13,0,65,0,65,Standard,1
Pokemon,Chi-Yu,B2a,21,6,0,30,0,30,Standard,1
Pokemon,Heatmor,A1,48,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,6,14,30,70,100,Core,2
Trainer,Cyrus,A2,150,15,5,75,25,100,Core,1
Trainer,Flame Patch,B1,217,12,8,60,40,100,Core,1
Trainer,Poké Ball,P-A,5,1,19,5,95,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Rare Candy,A3,144,0,20,0,100,100,Core,2
Trainer,Rocky Helmet,A2,148,13,5,65,25,90,Core,1
Trainer,Lillie,A3,155,15,0,75,0,75,Standard,1
Trainer,Guzma,A3,151,5,0,25,0,25,Tech,1
Trainer,Pokémon Center Lady,A2b,70,4,0,20,0,20,Tech,1
Trainer,Sabrina,A1,225,4,0,20,0,20,Tech,1
Trainer,Lucky Ice Pop,B2,145,1,0,5,0,5,Tech,1
Trainer,Mesagoza,B2a,93,1,0,5,0,5,Tech,1
Trainer,Red Card,P-A,6,1,0,5,0,5,Tech,1
Trainer,Serena,B1a,69,1,0,5,0,5,Tech,1
