type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Buneary,B1a,62,0,20,0,100,100,Core,2
Pokemon,Lucario,A2,92,0,20,0,100,100,Core,2
Pokemon,Mega Lopunny ex,B1a,42,0,20,0,100,100,Core,2
Pokemon,Riolu,A2,91,0,20,0,100,100,Core,2
Pokemon,Hitmontop,A4,102,18,1,90,5,95,Core,1
Pokemon,Tyrogue,A4,101,0,1,0,5,5,Tech,2
Trainer,Copycat,B1,225,20,0,100,0,100,Core,1
Trainer,Cyrus,A2,150,20,0,100,0,100,Core,1
Trainer,Poké Ball,P-A,5,0,20,0,100,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Will,A4,156,20,0,100,0,100,Core,1
Trainer,May,B1,223,19,0,95,0,95,Core,1
Trainer,Red Card,P-A,6,19,0,95,0,95,Core,1
Trainer,X Speed,P-A,2,18,0,90,0,90,Core,1
Trainer,Guzma,A3,151,16,0,80,0,80,Core,1
Trainer,Rocky Helmet,A2,148,2,0,10,0,10,Tech,1
Trainer,Mars,A2,155,1,0,5,0,5,Tech,1
Trainer,Protective Poncho,B2,147,1,0,5,0,5,Tech,1
Trainer,Sabrina,A1,225,1,0,5,0,5,Tech,1
Trainer,Sightseer,B2,150,1,0,5,0,5,Tech,1
