type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Indeedee ex,B1,121,2,18,10,90,100,Core,2
Pokemon,Mega Steelix ex,B1a,52,0,20,0,100,100,Core,2
Pokemon,Onix,B1a,38,1,15,5,75,80,Core,2
Pokemon,Onix,A4,92,1,4,5,20,25,Tech,2
Pokemon,Orthworm,B2a,77,0,1,0,5,5,Tech,2
Trainer,Brock,A1,224,0,20,0,100,100,Core,2
Trainer,Heavy Helmet,B1,219,2,18,10,90,100,Core,2
Trainer,Poké Ball,P-A,5,1,19,5,95,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Copycat,B1,225,14,5,70,25,95,Core,1
Trainer,Lucky Ice Pop,B2,145,0,19,0,95,95,Core,2
Trainer,Pokémon Center Lady,A2b,70,16,2,80,10,90,Core,1
Trainer,Cyrus,A2,150,17,0,85,0,85,Core,1
Trainer,Protective Poncho,B2,147,6,2,30,10,40,Standard,1
Trainer,Starting Plains,B2,154,8,0,40,0,40,Standard,1
Trainer,Guzma,A3,151,1,0,5,0,5,Tech,1
Trainer,Leaf,A1a,68,1,0,5,0,5,Tech,1
Trainer,Mesagoza,B2a,93,1,0,5,0,5,Tech,1
Trainer,Potion,P-A,1,0,1,0,5,5,Tech,2
Trainer,Sightseer,B2,150,1,0,5,0,5,Tech,1
