type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Ivysaur,B1a,2,1,19,5,95,100,Core,2
Pokemon,Mega Venusaur ex,B1a,4,2,18,10,90,100,Core,2
Pokemon,Bulbasaur,B1a,1,10,7,50,35,85,Core,1
Pokemon,Bulbasaur,A1,1,1,2,5,10,15,Tech,2
Pokemon,Chingling,B1,109,1,0,5,0,5,Tech,1
Pokemon,Nihilego,A3a,42,1,0,5,0,5,Tech,1
Pokemon,Shaymin,A2,22,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,16,4,80,20,100,Core,1
Trainer,Lillie,A3,155,7,13,35,65,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Quick-Grow Extract,B1a,67,0,20,0,100,100,Core,2
Trainer,Erika,A1,219,13,6,65,30,95,Core,1
Trainer,Heavy Helmet,B1,219,3,16,15,80,95,Core,2
Trainer,Sabrina,A1,225,17,0,85,0,85,Core,1
Trainer,Cyrus,A2,150,13,0,65,0,65,Standard,1
Trainer,Pokémon Center Lady,A2b,70,12,0,60,0,60,Standard,1
Trainer,May,B1,223,11,0,55,0,55,Standard,1
Trainer,Red Card,P-A,6,11,0,55,0,55,Standard,1
Trainer,Team Star Grunt,B2a,88,6,0,30,0,30,Standard,1
Trainer,Guzma,A3,151,5,0,25,0,25,Tech,1
Trainer,Team Rocket Grunt,A2b,72,5,0,25,0,25,Tech,1
Trainer,Poké Ball,P-A,5,0,3,0,15,15,Tech,2
Trainer,Lucky Ice Pop,B2,145,1,1,5,5,10,Tech,1
Trainer,Iono,B2a,89,1,0,5,0,5,Tech,1
Trainer,Mars,A2,155,1,0,5,0,5,Tech,1
Trainer,Potion,P-A,1,1,0,5,0,5,Tech,1
Trainer,Red,A2b,71,1,0,5,0,5,Tech,1
Trainer,Repel,A3a,64,1,0,5,0,5,Tech,1
