type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Giratina ex,A2b,35,20,0,100,0,100,Core,1
Pokemon,Greninja,A1,89,0,20,0,100,100,Core,2
Pokemon,Mimikyu ex,B2,73,0,20,0,100,100,Core,2
Pokemon,Froakie,A1,87,0,17,0,85,85,Core,2
Pokemon,Frogadier,A1,88,16,0,80,0,80,Core,1
Pokemon,Froakie,B1,71,0,3,0,15,15,Tech,2
Pokemon,Sableye,B1,101,1,0,5,0,5,Tech,1
Trainer,Copycat,B1,225,4,16,20,80,100,Core,2
Trainer,Cyrus,A2,150,1,19,5,95,100,Core,2
Trainer,Poké Ball,P-A,5,0,20,0,100,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Rare Candy,A3,144,16,4,80,20,100,Core,1
Trainer,Peculiar Plaza,B2,155,10,9,50,45,95,Core,1
Trainer,Rocky Helmet,A2,148,12,7,60,35,95,Core,1
Trainer,Lucky Ice Pop,B2,145,3,0,15,0,15,Tech,1
Trainer,Mars,A2,155,2,0,10,0,10,Tech,1
Trainer,X Speed,P-A,2,2,0,10,0,10,Tech,1
Trainer,Giant Cape,A2,147,1,0,5,0,5,Tech,1
Trainer,Inflatable Boat,A4a,67,1,0,5,0,5,Tech,1
Trainer,Sabrina,A1,225,1,0,5,0,5,Tech,1
