type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Baxcalibur,B2a,36,0,20,0,100,100,Core,2
Pokemon,Chien-Pao ex,B2a,37,20,0,100,0,100,Core,1
Pokemon,Frigibax,B2a,34,0,20,0,100,100,Core,2
Pokemon,Suicune ex,A4a,20,0,20,0,100,100,Core,2
Pokemon,Indeedee ex,B1,121,2,0,10,0,10,Tech,1
Pokemon,Palkia ex,A2,49,1,0,5,0,5,Tech,1
Trainer,Giant Cape,A2,147,12,8,60,40,100,Core,1
Trainer,Irida,A2a,72,17,3,85,15,100,Core,1
Trainer,Poké Ball,P-A,5,0,20,0,100,100,Core,2
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Rare Candy,A3,144,0,20,0,100,100,Core,2
Trainer,Starting Plains,B2,154,20,0,100,0,100,Core,1
Trainer,Mars,A2,155,18,0,90,0,90,Core,1
Trainer,Inflatable Boat,A4a,67,11,0,55,0,55,Standard,1
Trainer,Cyrus,A2,150,10,0,50,0,50,Standard,1
Trainer,Copycat,B1,225,9,0,45,0,45,Standard,1
Trainer,Guzma,A3,151,8,0,40,0,40,Standard,1
Trainer,Sabrina,A1,225,5,0,25,0,25,Tech,1
Trainer,Misty,A1,220,0,2,0,10,10,Tech,2
Trainer,Team Star Grunt,B2a,88,1,0,5,0,5,Tech,1
