type,card_name,set,num,count_1,count_2,pct_1,pct_2,pct_total,category,majority
Pokemon,Froakie,B1,71,2,18,10,90,100,Core,2
Pokemon,Greninja,A1,89,3,17,15,85,100,Core,2
Pokemon,Greninja ex,B1,73,20,0,100,0,100,Core,1
Pokemon,Suicune ex,A4a,20,0,20,0,100,100,Core,2
Pokemon,Indeedee ex,B1,121,18,0,90,0,90,Core,1
Pokemon,Froakie,A1,87,2,0,10,0,10,Tech,1
Pokemon,Alolan Ninetales ex,B2,29,1,0,5,0,5,Tech,1
Pokemon,Alolan Vulpix,A3,40,1,0,5,0,5,Tech,1
Pokemon,Frogadier,A1,88,1,0,5,0,5,Tech,1
Pokemon,Frogadier,B1,72,1,0,5,0,5,Tech,1
Trainer,Cyrus,A2,150,2,18,10,90,100,Core,2
Trainer,Giant Cape,A2,147,16,4,80,20,100,Core,1
Trainer,Irida,A2a,72,19,1,95,5,100,Core,1
Trainer,Mars,A2,155,20,0,100,0,100,Core,1
Trainer,Professor's Research,P-A,7,0,20,0,100,100,Core,2
Trainer,Rare Candy,A3,144,1,19,5,95,100,Core,2
Trainer,Poké Ball,P-A,5,5,14,25,70,95,Core,2
Trainer,Starting Plains,B2,154,10,0,50,0,50,Standard,1
Trainer,Mesagoza,B2a,93,5,0,25,0,25,Tech,1
Trainer,Guzma,A3,151,4,0,20,0,20,Tech,1
Trainer,Copycat,B1,225,3,0,15,0,15,Tech,1
Trainer,Arven,B2a,91,2,0,10,0,10,Tech,1
Trainer,Lucky Ice Pop,B2,145,1,0,5,0,5,Tech,1
Trainer,Red Card,P-A,6,1,0,5,0,5,Tech,1
