opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,4,0,0.0,4,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,0,3,0,0.0,3,0.0
Mega Kangaskhan ex Pichu,mega-kangaskhan-ex-b2-pichu-a4,0,3,0,0.0,3,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Tinkaton ex Gholdengo ex,tinkaton-ex-a2b-gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,0,1,0,0.0,1,0.0
Dustox Teal Mask Ogerpon ex,dustox-b1-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,0,1,0,0.0,1,0.0
Tyrantrum Rampardos,tyrantrum-b2-rampardos-a2,0,1,0,0.0,1,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,1,0,0.0,1,0.0
Solgaleo ex Meowth,solgaleo-ex-a3-meowth-b2,0,1,0,0.0,1,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,0,1,0,0.0,1,0.0
Annihilape Tyrantrum,annihilape-b2a-tyrantrum-b2,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,0,1,0,0.0,1,0.0
Meowscarada ex,meowscarada-ex-b2a,0,1,0,0.0,1,0.0
Melmetal ex,melmetal-ex-b1,0,1,0,0.0,1,0.0
Porygon-Z Magby,porygon-z-b1a-magby-a4,0,1,0,0.0,1,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Tauros ex Rampardos,tauros-ex-b1-rampardos-a2,0,1,0,0.0,1,0.0
Solgaleo ex,solgaleo-ex-a3,0,1,0,0.0,1,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,0,1,0,0.0,1,0.0
Quaquaval Meowth,quaquaval-b2a-meowth-b2,0,1,0,0.0,1,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-a2,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Swampert ex Spiritomb,mega-swampert-ex-spiritomb-b2,0,1,0,0.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,0,1,0,0.0,1,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,9,0,10.0,10,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,7,0,12.5,8,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,6,1,12.5,8,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,1,3,0,25.0,4,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,15,39,1,27.27,55,0.0
Mega Altaria ex,mega-altaria-ex-b1,3,6,1,30.0,10,0.0
Chandelure Meowth,chandelure-meowth-b2,1,2,0,33.33,3,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,27,50,3,33.75,80,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,19,28,1,39.58,48,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,2,3,0,40.0,5,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,7,7,2,43.75,16,0.0
Unknown,,1,1,0,50.0,2,0.0
