opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Pikachu ex Oricorio,pikachu-ex-a1-oricorio-a3,0,1,0,0.0,1,0.0
Victreebel Chingling,victreebel-a1-chingling-b1,0,1,0,0.0,1,0.0
Pawmot Magnezone,pawmot-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Darkrai ex Arceus ex,darkrai-ex-a2-arceus-ex-a2a,0,1,0,0.0,1,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,0,1,0,0.0,1,0.0
Hydreigon Darkrai ex,hydreigon-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Rampardos Annihilape,rampardos-a2-annihilape-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Galarian Rapidash,mega-gardevoir-ex-galarian-rapidash-b2,0,1,0,0.0,1,0.0
Pawmot Bellibolt ex,pawmot-a2b-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Aurorus Baxcalibur,aurorus-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Gengar ex,mega-gardevoir-ex-b2-gengar-ex-a1,0,1,0,0.0,1,0.0
Greninja ex Chien-Pao ex,greninja-ex-b1-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Skeledirge Entei ex,skeledirge-b2a-entei-ex-a4a,0,1,0,0.0,1,0.0
Lunala ex Galarian Cursola,lunala-ex-a3-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Mega Altaria ex Unown,mega-altaria-ex-b1-unown-a4,0,1,0,0.0,1,0.0
Tyrantrum,tyrantrum-b2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,1,0,0.0,1,0.0
Magnezone Alolan Raichu,magnezone-b1a-alolan-raichu-b2,0,2,0,0.0,2,0.0
Meowscarada Decidueye ex,meowscarada-a2b-decidueye-ex-a3,0,2,0,0.0,2,0.0
Mega Altaria ex Xatu,mega-altaria-ex-b1-xatu-a4,0,2,0,0.0,2,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,2,0,0.0,2,0.0
Chandelure Persian,chandelure-b2-persian-a1,0,2,0,0.0,2,0.0
Bellibolt ex Raikou ex,bellibolt-ex-b2a-raikou-ex-a4a,0,2,0,0.0,2,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-a2,0,2,0,0.0,2,0.0
Rampardos Lucario,rampardos-lucario-a2,0,4,0,0.0,4,0.0
