opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex,mega-altaria-ex-b1,0,2,0,0.0,2,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,2,0,0.0,2,0.0
Garchomp ex Sylveon ex,garchomp-ex-a2a-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,0,1,0,0.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,1,0,0.0,1,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,3,9,0,25.0,12,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,2,5,0,28.57,7,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,2,4,0,33.33,6,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,7,11,1,36.84,19,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,1,0,50.0,2,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,1,1,0,50.0,2,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,7,6,0,53.85,13,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,3,2,0,60.0,5,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,6,2,0,75.0,8,0.0
Leafeon ex Flareon ex,leafeon-ex-a2a-flareon-ex-a3b,1,0,0,100.0,1,0.0
Annihilape Rampardos,annihilape-b2a-rampardos-a2,1,0,0,100.0,1,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,1,0,0,100.0,1,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,2,0,0,100.0,2,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,2,0,0,100.0,2,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,1,0,0,100.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,0,0,100.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,1,0,0,100.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-a2,1,0,0,100.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,1,0,0,100.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,1,0,0,100.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,1,0,0,100.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,1,0,0,100.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,0,0,100.0,1,0.0
