opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,0,7,0,0.0,7,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,3,0,0.0,3,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,0,3,0,0.0,3,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,2,0,0.0,2,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,0,0.0,2,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,2,0,0.0,2,0.0
Serperior Mega Pinsir ex,serperior-a1a-mega-pinsir-ex-b1,0,1,0,0.0,1,0.0
Tyrantrum Passimian ex,tyrantrum-b2-passimian-ex-a3,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-a2,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,0,1,0,0.0,1,0.0
Arceus ex Pichu,arceus-ex-a2a-pichu-a4,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Pichu,mega-kangaskhan-ex-b2-pichu-a4,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,1,0,0.0,1,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,0,1,0,0.0,1,0.0
Gholdengo ex Mimikyu ex,gholdengo-ex-b2a-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,0,0,1,0.0,1,0.0
Armarouge ex Magby,armarouge-ex-b2a-magby-a4,0,1,0,0.0,1,0.0
Mega Swampert ex Alolan Muk,mega-swampert-ex-alolan-muk-b2,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Espeon ex Sylveon ex,espeon-ex-a4-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Gourgeist Chandelure,gourgeist-chandelure-b2,0,1,0,0.0,1,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,0,1,0,0.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Tinkaton ex Gholdengo ex,tinkaton-ex-a2b-gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Bellibolt ex,bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,0,1,0,0.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,0,0,1,0.0,1,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Paldean Clodsire ex Weezing,paldean-clodsire-ex-a2b-weezing-a1,0,1,0,0.0,1,0.0
Alolan Ninetales ex Araquanid,alolan-ninetales-ex-b2-araquanid-a3,0,1,0,0.0,1,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Skarmory ex,skarmory-ex-a4,0,1,0,0.0,1,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,2,10,0,16.67,12,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,2,1,25.0,4,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,1,3,0,25.0,4,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,1,2,0,33.33,3,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,10,13,2,40.0,25,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,5,6,0,45.45,11,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,8,9,0,47.06,17,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,1,1,0,50.0,2,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,1,1,0,50.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,1,0,50.0,2,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,1,0,50.0,2,0.0
Chandelure Meowth,chandelure-meowth-b2,1,1,0,50.0,2,0.0
Aegislash Skarmory,aegislash-b1-skarmory-a2,1,1,0,50.0,2,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,1,1,0,50.0,2,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,10,7,0,58.82,17,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,3,2,0,60.0,5,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,4,2,0,66.67,6,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,2,1,0,66.67,3,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,1,0,66.67,3,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,1,0,0,100.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex,mega-altaria-ex-b1,2,0,0,100.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,3,0,0,100.0,3,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,1,0,0,100.0,1,0.0
Jolteon ex Toxtricity ex,jolteon-ex-b1-toxtricity-ex-b2,1,0,0,100.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,1,0,0,100.0,1,0.0
Tyrantrum Rampardos,tyrantrum-b2-rampardos-a2,1,0,0,100.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,1,0,0,100.0,1,0.0
Solgaleo ex Entei ex,solgaleo-ex-a3-entei-ex-a4a,1,0,0,100.0,1,0.0
Decidueye ex Meowscarada ex,decidueye-ex-a3-meowscarada-ex-b2a,1,0,0,100.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,0,0,100.0,1,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,1,0,0,100.0,1,0.0
Solgaleo ex Cleffa,solgaleo-ex-a3-cleffa-a4,1,0,0,100.0,1,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,1,0,0,100.0,1,0.0
Mega Gardevoir ex Gengar ex,mega-gardevoir-ex-b2-gengar-ex-a1,1,0,0,100.0,1,0.0
Lunala ex Giratina ex,lunala-ex-a3-giratina-ex-a2b,1,0,0,100.0,1,0.0
Chandelure,chandelure-b2,1,0,0,100.0,1,0.0
Mega Absol ex Galarian Obstagoon,mega-absol-ex-b1-galarian-obstagoon-b2,1,0,0,100.0,1,0.0
