opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,0,2,0,0.0,2,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,1,0,0.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Baxcalibur Suicune ex,baxcalibur-b2a-suicune-ex-a4a,0,1,0,0.0,1,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,0,2,0,0.0,2,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,0,1,0,0.0,1,0.0
Rapidash ex Skeledirge,rapidash-ex-b1-skeledirge-b2a,0,1,0,0.0,1,0.0
Chien-Pao ex Alolan Ninetales ex,chien-pao-ex-b2a-alolan-ninetales-ex-b2,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Paldean Clodsire ex Nihilego,paldean-clodsire-ex-a2b-nihilego-a3a,0,1,0,0.0,1,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,1,0,0.0,1,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,2,4,0,33.33,6,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,1,1,0,50.0,2,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,1,0,50.0,2,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,2,1,0,66.67,3,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,3,1,0,75.0,4,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,0,0,100.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,1,0,0,100.0,1,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,0,0,100.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,1,0,0,100.0,1,0.0
