opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,0,3,0,0.0,3,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,0,3,0,0.0,3,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,0,2,0,0.0,2,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,2,0,0.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,2,0,0.0,2,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Mega Absol ex Absol,mega-absol-ex-b1-absol-a4,0,1,0,0.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,0,1,0,0.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,0,1,0,0.0,1,0.0
Snorlax ex Dragonite,snorlax-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,0,1,0,0.0,1,0.0
Dialga ex Gholdengo ex,dialga-ex-a2-gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,0,1,0,0.0,1,0.0
Gholdengo ex Galarian Perrserker,gholdengo-ex-b2a-galarian-perrserker-b2,0,1,0,0.0,1,0.0
Buzzwole ex Pheromosa,buzzwole-ex-pheromosa-a3a,0,1,0,0.0,1,0.0
Armarouge ex Skeledirge,armarouge-ex-skeledirge-b2a,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-b1a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Pikachu ex Oricorio,pikachu-ex-a1-oricorio-a3,0,1,0,0.0,1,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,1,0,0.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,0,1,0,0.0,1,0.0
Magnezone Skarmory,magnezone-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,1,0,0.0,1,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,0,1,0,0.0,1,0.0
Pidgeot ex Pidgeot,pidgeot-ex-a1a-pidgeot-a1,0,1,0,0.0,1,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,1,21,0,4.55,22,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,3,0,25.0,4,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,14,15,1,46.67,30,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,8,9,0,47.06,17,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,1,1,0,50.0,2,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,1,1,0,50.0,2,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,3,3,0,50.0,6,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,1,0,50.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,2,2,0,50.0,4,0.0
Rampardos Lucario,rampardos-lucario-a2,1,1,0,50.0,2,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,1,1,0,50.0,2,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,1,0,50.0,2,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,12,9,2,52.17,23,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,12,7,3,54.55,22,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,3,2,0,60.0,5,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,18,8,1,66.67,27,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,0,1,66.67,3,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,2,1,0,66.67,3,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,24,8,2,70.59,34,0.0
Mega Altaria ex,mega-altaria-ex-b1,7,1,0,87.5,8,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,1,0,0,100.0,1,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,1,0,0,100.0,1,0.0
Magnezone Ceruledge,magnezone-b1a-ceruledge-b2a,1,0,0,100.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,1,0,0,100.0,1,0.0
Xatu Galarian Cursola,xatu-a4-galarian-cursola-a4a,1,0,0,100.0,1,0.0
Incineroar ex Skeledirge,incineroar-ex-a3-skeledirge-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,2,0,0,100.0,2,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,0,0,100.0,2,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,2,0,0,100.0,2,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,2,0,0,100.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,2,0,0,100.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,1,0,0,100.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,1,0,0,100.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,1,0,0,100.0,1,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,1,0,0,100.0,1,0.0
