opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,0,3,0,0.0,3,0.0
Jumpluff ex Pachirisu ex,jumpluff-ex-a4a-pachirisu-ex-a2,0,1,0,0.0,1,0.0
Meowscarada ex Dustox,meowscarada-ex-b2a-dustox-b1,0,1,0,0.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,0,1,0,0.0,1,0.0
Chandelure Persian,chandelure-persian-b2,0,1,0,0.0,1,0.0
Mega Altaria ex Furfrou,mega-altaria-ex-b1-furfrou-b1a,0,1,0,0.0,1,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,1,0,0.0,1,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,1,0,0.0,1,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,3,6,1,30.0,10,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,2,0,33.33,3,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,2,3,0,40.0,5,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,6,8,0,42.86,14,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,8,10,0,44.44,18,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,2,2,0,50.0,4,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,1,1,0,50.0,2,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,1,1,0,50.0,2,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,6,5,0,54.55,11,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,0,0,100.0,1,0.0
Arceus ex Pichu,arceus-ex-a2a-pichu-a4,1,0,0,100.0,1,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,1,0,0,100.0,1,0.0
Skarmory ex Skarmory,skarmory-ex-a4-skarmory-a2,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,0,0,100.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,1,0,0,100.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,0,0,100.0,2,0.0
Skeledirge Lugia ex,skeledirge-b2a-lugia-ex-a4,1,0,0,100.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,1,0,0,100.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,1,0,0,100.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,1,0,0,100.0,1,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,0,0,100.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,1,0,0,100.0,1,0.0
