opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,0,3,0,0.0,3,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,3,0,0.0,3,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,4,0,0.0,4,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,2,0,0.0,2,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,0,2,0,0.0,2,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,0,2,0,0.0,2,0.0
Chandelure Meowth,chandelure-meowth-b2,0,2,0,0.0,2,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,0,2,0,0.0,2,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Silvally,silvally-a3a,0,1,0,0.0,1,0.0
Vanilluxe Alcremie,vanilluxe-b2-alcremie-a3b,0,1,0,0.0,1,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,1,0,0.0,1,0.0
Mega Absol ex Galarian Obstagoon,mega-absol-ex-b1-galarian-obstagoon-b2,0,1,0,0.0,1,0.0
Indeedee ex Mega Altaria ex,indeedee-ex-mega-altaria-ex-b1,0,1,0,0.0,1,0.0
Skeledirge Blacephalon ex,skeledirge-b2a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Pikachu ex Oricorio,pikachu-ex-a2b-oricorio-a3,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Charizard ex,charizard-ex-a2b,0,1,0,0.0,1,0.0
Dialga ex Gholdengo ex,dialga-ex-a2-gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,0,1,0,0.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Pikachu ex Tapu Koko ex,pikachu-ex-a2b-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,0,1,0,0.0,1,0.0
Buzzwole ex Pheromosa,buzzwole-ex-pheromosa-a3a,0,1,0,0.0,1,0.0
Pawmot,pawmot-b2a,0,1,0,0.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,1,0,0.0,1,0.0
Mega Swampert ex Indeedee ex,mega-swampert-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Alolan Ninetales ex Alolan Ninetales,alolan-ninetales-ex-b2-alolan-ninetales-a3,0,1,0,0.0,1,0.0
Pawmot Raikou ex,pawmot-b2a-raikou-ex-a4a,0,1,0,0.0,1,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,5,0,16.67,6,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,4,19,0,17.39,23,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,4,0,20.0,5,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,1,3,0,25.0,4,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,2,6,0,25.0,8,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,2,6,0,25.0,8,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,3,7,0,30.0,10,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,12,26,0,31.58,38,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,6,11,1,33.33,18,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,2,0,33.33,3,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,4,7,0,36.36,11,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,15,23,0,39.47,38,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,2,3,0,40.0,5,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,16,22,0,42.11,38,0.0
Mega Charizard Y ex Mega Blaziken ex,mega-charizard-y-ex-b1a-mega-blaziken-ex-b1,1,1,0,50.0,2,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,1,1,0,50.0,2,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,5,5,0,50.0,10,0.0
Mega Steelix ex Mantyke,mega-steelix-ex-b1a-mantyke-a4a,1,1,0,50.0,2,0.0
Alolan Exeggutor,alolan-exeggutor-a3,1,1,0,50.0,2,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,6,6,0,50.0,12,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,1,1,0,50.0,2,0.0
Leafeon ex Eevee ex,leafeon-ex-a2a-eevee-ex-a3b,1,1,0,50.0,2,0.0
Mega Lopunny ex Arboliva,mega-lopunny-ex-b1a-arboliva-b2a,1,1,0,50.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,8,6,0,57.14,14,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,2,1,0,66.67,3,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,7,3,0,70.0,10,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,3,0,1,75.0,4,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,3,0,0,100.0,3,0.0
Mega Swampert ex Swampert,mega-swampert-ex-swampert-b2,1,0,0,100.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Maushold,maushold-b2,1,0,0,100.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,0,0,100.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,1,0,0,100.0,1,0.0
Dragalge ex Paldean Clodsire ex,dragalge-ex-b1-paldean-clodsire-ex-a2b,1,0,0,100.0,1,0.0
Mega Gardevoir ex,mega-gardevoir-ex-b2,1,0,0,100.0,1,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Darkrai ex Arceus ex,darkrai-ex-a2-arceus-ex-a2a,1,0,0,100.0,1,0.0
