opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,2,0,0.0,2,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,2,0,0.0,2,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,0,2,0,0.0,2,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,3,0,0.0,3,0.0
Hydreigon Silvally,hydreigon-b1-silvally-a3a,0,0,1,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,0,1,0.0,1,0.0
Magnezone Silvally,magnezone-b1a-silvally-a3a,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex Blaziken,mega-blaziken-ex-blaziken-b1,0,1,0,0.0,1,0.0
Mega Altaria ex Xatu,mega-altaria-ex-b1-xatu-a4,0,1,0,0.0,1,0.0
Rampardos Lucario,rampardos-lucario-a2,0,1,0,0.0,1,0.0
Mega Lopunny ex Primeape,mega-lopunny-ex-b1a-primeape-a1,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Donphan ex,donphan-ex-a4,0,1,0,0.0,1,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,0,1,0,0.0,1,0.0
Mega Venusaur ex Golurk,mega-venusaur-ex-b1a-golurk-b1,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Aurorus Baxcalibur,aurorus-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,0,1,0,0.0,1,0.0
Gholdengo ex Galarian Perrserker,gholdengo-ex-b2a-galarian-perrserker-b2,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,8,0,11.11,9,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,8,11,4,34.78,23,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,16,22,4,38.1,42,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,3,3,1,42.86,7,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,6,7,1,42.86,14,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,8,9,0,47.06,17,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,2,2,0,50.0,4,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,0,1,50.0,2,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,1,0,50.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,1,0,50.0,2,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,24,22,0,52.17,46,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,19,15,2,52.78,36,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,6,4,0,60.0,10,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,2,1,0,66.67,3,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,6,3,0,66.67,9,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,1,0,66.67,3,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,16,6,0,72.73,22,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,3,1,0,75.0,4,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,3,1,0,75.0,4,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,6,1,1,75.0,8,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,4,1,0,80.0,5,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,1,0,0,100.0,1,0.0
Annihilape Rampardos,annihilape-b2a-rampardos-a2,1,0,0,100.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,1,0,0,100.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,1,0,0,100.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,1,0,0,100.0,1,0.0
Mega Altaria ex Magnezone,mega-altaria-ex-b1-magnezone-b1a,1,0,0,100.0,1,0.0
Jumpluff ex Goomy,jumpluff-ex-a4a-goomy-b1,1,0,0,100.0,1,0.0
Mega Steelix ex Probopass,mega-steelix-ex-probopass-b1a,1,0,0,100.0,1,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,1,0,0,100.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,2,0,0,100.0,2,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,2,0,0,100.0,2,0.0
