opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,0,1,2,0.0,3,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,1,0.0,3,0.0
Unknown,,0,1,0,0.0,1,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,0,2,0,0.0,2,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,0,2,0,0.0,2,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Gholdengo ex Indeedee ex,gholdengo-ex-b2a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Greninja Giratina ex,greninja-a1-giratina-ex-a2b,0,1,0,0.0,1,0.0
Solgaleo ex Lunala ex,solgaleo-ex-lunala-ex-a3,0,1,0,0.0,1,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mew ex,mega-gardevoir-ex-b2-mew-ex-a1a,0,1,0,0.0,1,0.0
Articuno ex Baxcalibur,articuno-ex-a1-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,0,1,0,0.0,1,0.0
Gyarados Palkia ex,gyarados-a4-palkia-ex-a2,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,0,1,0,0.0,1,0.0
Mega Swampert ex Spiritomb,mega-swampert-ex-spiritomb-b2,0,1,0,0.0,1,0.0
Tyrantrum Annihilape,tyrantrum-b2-annihilape-b2a,0,1,0,0.0,1,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Gengar ex Mega Gardevoir ex,gengar-ex-a1-mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Dusknoir Houndstone,dusknoir-b1-houndstone-b2a,0,1,0,0.0,1,0.0
Hydreigon Guzzlord ex,hydreigon-b1-guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
