opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Machamp ex Machamp,machamp-ex-a1-machamp-b2,0,1,0,0.0,1,0.0
Beedrill ex Fearow,beedrill-ex-a2b-fearow-a1,0,1,0,0.0,1,0.0
Leafeon ex Mega Pinsir ex,leafeon-ex-a2a-mega-pinsir-ex-b1,0,1,0,0.0,1,0.0
Dragonite ex,dragonite-ex-a3b,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,1,0,0.0,1,0.0
Gholdengo ex Probopass ex,gholdengo-ex-b2a-probopass-ex-a2a,0,1,0,0.0,1,0.0
Entei ex Mega Blaziken ex,entei-ex-a4a-mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,0,1,0,0.0,1,0.0
Greninja Pikachu ex,greninja-a1-pikachu-ex-a2b,0,1,0,0.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Mega Gyarados ex Jellicent,mega-gyarados-ex-jellicent-b1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Galarian Rapidash,mega-gardevoir-ex-galarian-rapidash-b2,0,1,0,0.0,1,0.0
Mega Gardevoir ex Arboliva,mega-gardevoir-ex-b2-arboliva-b2a,0,1,0,0.0,1,0.0
Espeon ex Indeedee ex,espeon-ex-a4-indeedee-ex-b1,0,1,0,0.0,1,0.0
Buzzwole ex Celesteela,buzzwole-ex-celesteela-a3a,0,3,0,0.0,3,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,0,2,0,0.0,2,0.0
Bellibolt ex Alolan Raichu,bellibolt-ex-b2a-alolan-raichu-b2,0,2,0,0.0,2,0.0
Mega Absol ex Chingling,mega-absol-ex-chingling-b1,0,2,0,0.0,2,0.0
Entei ex Blacephalon ex,entei-ex-a4a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Mega Altaria ex Furfrou,mega-altaria-ex-b1-furfrou-b1a,0,3,0,0.0,3,0.0
Mega Altaria ex Teal Mask Ogerpon ex,mega-altaria-ex-b1-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,0,1,0,0.0,1,0.0
Magneton Blissey,magneton-a1-blissey-a4,0,1,0,0.0,1,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Swampert ex Baxcalibur,mega-swampert-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Maushold,alolan-ninetales-ex-b2-maushold-b2a,0,1,0,0.0,1,0.0
Articuno ex Baxcalibur,articuno-ex-a1-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Venusaur ex Venusaur,mega-venusaur-ex-b1a-venusaur-a1,0,1,0,0.0,1,0.0
Mega Steelix ex,mega-steelix-ex-b1a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Silvally,alolan-ninetales-ex-b2-silvally-a3a,0,1,0,0.0,1,0.0
Bellibolt ex,bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Tinkaton ex Pichu,tinkaton-ex-a2b-pichu-a4,0,1,0,0.0,1,0.0
Mega Blaziken ex Blaziken,mega-blaziken-ex-blaziken-b1,0,1,0,0.0,1,0.0
Mega Charizard Y ex Moltres ex,mega-charizard-y-ex-b1a-moltres-ex-a1,0,1,0,0.0,1,0.0
Ho-Oh ex Lugia ex,ho-oh-ex-lugia-ex-a4,0,1,0,0.0,1,0.0
Mega Altaria ex Magnezone,mega-altaria-ex-b1-magnezone-b1a,0,1,0,0.0,1,0.0
Gyarados Mega Kangaskhan ex,gyarados-a4-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Unknown,,1,5,0,16.67,6,0.0
Oricorio,oricorio-a3,1,3,0,25.0,4,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,3,0,25.0,4,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,9,24,0,27.27,33,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,6,16,0,27.27,22,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,2,4,1,28.57,7,0.0
Mega Altaria ex,mega-altaria-ex-b1,17,39,2,29.31,58,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,1,1,1,33.33,3,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,1,2,0,33.33,3,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,1,2,0,33.33,3,0.0
Porygon-Z Blacephalon ex,porygon-z-b1a-blacephalon-ex-b2,1,2,0,33.33,3,0.0
Gyarados Chien-Pao ex,gyarados-a4-chien-pao-ex-b2a,1,2,0,33.33,3,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,4,8,0,33.33,12,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,4,7,1,33.33,12,0.0
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,1,2,0,33.33,3,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,2,4,0,33.33,6,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,2,4,0,33.33,6,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,24,41,2,35.82,67,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,4,7,0,36.36,11,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,5,8,0,38.46,13,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,6,8,1,40.0,15,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,2,3,0,40.0,5,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,144,177,14,42.99,335,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,101,115,8,45.09,224,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,232,257,15,46.03,504,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,12,14,0,46.15,26,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,29,31,1,47.54,61,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,249,243,14,49.21,506,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,210,210,4,49.53,424,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,1,1,0,50.0,2,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,1,1,0,50.0,2,0.0
Jolteon ex Greninja,jolteon-ex-b1-greninja-a1,1,1,0,50.0,2,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,1,0,1,50.0,2,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,1,1,0,50.0,2,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,1,1,0,50.0,2,0.0
Mega Swampert ex,mega-swampert-ex-b2,1,1,0,50.0,2,0.0
Magnezone Honchkrow,magnezone-b1a-honchkrow-b1,1,1,0,50.0,2,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,1,1,0,50.0,2,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,1,1,0,50.0,2,0.0
Mega Blastoise ex Baxcalibur,mega-blastoise-ex-b1a-baxcalibur-b2a,1,1,0,50.0,2,0.0
Chandelure Persian,chandelure-persian-b2,1,1,0,50.0,2,0.0
Hydreigon Darkrai ex,hydreigon-b1-darkrai-ex-a2,1,1,0,50.0,2,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,1,1,0,50.0,2,0.0
Pikachu ex Oricorio,pikachu-ex-a1-oricorio-a3,1,1,0,50.0,2,0.0
Arboliva Mega Gardevoir ex,arboliva-b2a-mega-gardevoir-ex-b2,1,1,0,50.0,2,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,1,0,1,50.0,2,0.0
Pawmot Zeraora,pawmot-b2a-zeraora-a3a,1,1,0,50.0,2,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,2,2,0,50.0,4,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,2,2,0,50.0,4,0.0
Chandelure Meloetta,chandelure-meloetta-b2,3,3,0,50.0,6,0.0
Skarmory ex,skarmory-ex-a4,3,3,0,50.0,6,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,6,5,1,50.0,12,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,3,3,0,50.0,6,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,3,3,0,50.0,6,0.0
