opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,3,0,0.0,3,0.0
Armarouge ex Indeedee ex,armarouge-ex-b2a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Maushold,maushold-b2,0,2,0,0.0,2,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Blastoise ex Baxcalibur,mega-blastoise-ex-b1a-baxcalibur-b2a,0,1,0,0.0,1,0.0
Unknown,,0,1,0,0.0,1,0.0
Rampardos Annihilape,rampardos-a2-annihilape-b2a,0,1,0,0.0,1,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,0,1,0,0.0,1,0.0
Mega Blaziken ex Skeledirge,mega-blaziken-ex-b1-skeledirge-b2a,0,1,0,0.0,1,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Mega Swampert ex Spiritomb,mega-swampert-ex-spiritomb-b2,0,1,0,0.0,1,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,0,1,0,0.0,1,0.0
Lunala ex Galarian Cursola,lunala-ex-a3-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,0,1,0,0.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,0,0,1,0.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,0,1,0,0.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,1,0,0.0,1,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,0,0,1,0.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,0,1,0,0.0,1,0.0
Indeedee ex Bellibolt ex,indeedee-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,4,0,20.0,5,0.0
