opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Greninja Oricorio,greninja-a1-oricorio-a3,0,2,0,0.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,1,1,0.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,0,2,0,0.0,2,0.0
Charizard ex Oricorio,charizard-ex-a1-oricorio-a3,0,0,1,0.0,1,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,0,1,0,0.0,1,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Armarouge ex Mega Charizard Y ex,armarouge-ex-b2a-mega-charizard-y-ex-b1a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Celebi ex,mega-kangaskhan-ex-b2-celebi-ex-a1a,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,1,0,0.0,1,0.0
Magnezone Silvally,magnezone-b1a-silvally-a3a,0,1,0,0.0,1,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,1,6,0,14.29,7,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,2,2,3,28.57,7,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,9,12,1,40.91,22,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,2,2,0,50.0,4,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,5,5,0,50.0,10,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,1,0,50.0,2,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,4,4,0,50.0,8,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,3,2,0,60.0,5,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,8,5,0,61.54,13,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,12,5,1,66.67,18,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,16,7,0,69.57,23,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,3,1,0,75.0,4,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,2,0,0,100.0,2,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Vanilluxe Alcremie,vanilluxe-b2-alcremie-a3b,1,0,0,100.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,2,0,0,100.0,2,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,1,0,0,100.0,1,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-b1a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,0,0,100.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,1,0,0,100.0,1,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,0,0,100.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,0,0,100.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,0,0,100.0,1,0.0
Jellicent Mega Kangaskhan ex,jellicent-b1-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,1,0,0,100.0,1,0.0
Hydreigon Nihilego,hydreigon-b1-nihilego-a3a,1,0,0,100.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,0,0,100.0,1,0.0
Mega Absol ex Chingling,mega-absol-ex-chingling-b1,1,0,0,100.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,0,0,100.0,1,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,0,0,100.0,1,0.0
Armarouge ex Turtonator,armarouge-ex-b2a-turtonator-b1,1,0,0,100.0,1,0.0
Tinkaton ex Dialga ex,tinkaton-ex-a2b-dialga-ex-a2,1,0,0,100.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,1,0,0,100.0,1,0.0
