opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Guzzlord ex,guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,0,1,0,0.0,1,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-a2,0,1,0,0.0,1,0.0
Mega Lopunny ex Mankey,mega-lopunny-ex-b1a-mankey-a1a,0,1,0,0.0,1,0.0
Armarouge ex Charizard,armarouge-ex-b2a-charizard-a1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Mantyke,alolan-ninetales-ex-b2-mantyke-a4a,0,1,0,0.0,1,0.0
Indeedee ex Bellibolt ex,indeedee-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Suicune ex Mega Swampert ex,suicune-ex-a4a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Pawmot Magnezone,pawmot-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Armarouge ex Pichu,armarouge-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Arboliva Mega Mawile ex,arboliva-b2a-mega-mawile-ex-b2,0,1,0,0.0,1,0.0
Shuckle ex Vivillon,shuckle-ex-a4-vivillon-b2,0,1,0,0.0,1,0.0
Mega Swampert ex Indeedee ex,mega-swampert-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Porygon-Z Blacephalon ex,porygon-z-a2-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Darkrai ex Greninja,darkrai-ex-a2-greninja-a1,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,3,0,0.0,3,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,0,1,0,0.0,1,0.0
Meowscarada ex Kartana,meowscarada-ex-b2a-kartana-a3a,0,3,0,0.0,3,0.0
Garchomp ex Rampardos,garchomp-ex-a2a-rampardos-a2,0,1,0,0.0,1,0.0
Baxcalibur Mega Swampert ex,baxcalibur-b2a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Skeledirge Typhlosion,skeledirge-b2a-typhlosion-a4,0,2,0,0.0,2,0.0
Hitmonchan ex Staraptor,hitmonchan-ex-b1-staraptor-a2a,0,1,1,0.0,2,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,2,0,0.0,2,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,2,0,0.0,2,0.0
Alolan Ninetales ex Chien-Pao ex,alolan-ninetales-ex-b2-chien-pao-ex-b2a,0,2,0,0.0,2,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,0,2,0,0.0,2,0.0
Flareon ex Skeledirge,flareon-ex-a3b-skeledirge-b2a,0,2,0,0.0,2,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,0,2,0,0.0,2,0.0
Leafeon ex Mega Pinsir ex,leafeon-ex-a2a-mega-pinsir-ex-b1,0,5,0,0.0,5,0.0
Baxcalibur Palkia ex,baxcalibur-b2a-palkia-ex-a2,0,5,0,0.0,5,0.0
Chandelure Persian,chandelure-b2-persian-a1,0,1,0,0.0,1,0.0
Buzzwole ex Pheromosa,buzzwole-ex-pheromosa-a3a,0,1,0,0.0,1,0.0
Magnezone Skarmory,magnezone-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Alolan Ninetales ex Cryogonal,alolan-ninetales-ex-cryogonal-b2,0,1,0,0.0,1,0.0
Mega Lopunny ex Elekid,mega-lopunny-ex-b1a-elekid-a4,0,1,0,0.0,1,0.0
Hydreigon Nihilego,hydreigon-b1-nihilego-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex Blaziken,mega-blaziken-ex-blaziken-b1,0,1,0,0.0,1,0.0
Quaquaval Meowth,quaquaval-b2a-meowth-b2,0,1,0,0.0,1,0.0
Magnezone Ceruledge,magnezone-b1a-ceruledge-b2a,0,1,0,0.0,1,0.0
Magneton Mega Kangaskhan ex,magneton-a1-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Skarmory ex,skarmory-ex-a4,0,1,0,0.0,1,0.0
Mega Lopunny ex Greninja,mega-lopunny-ex-b1a-greninja-a1,0,1,0,0.0,1,0.0
Alolan Ninetales ex Greninja,alolan-ninetales-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Silvally Tyrantrum,silvally-a3a-tyrantrum-b2,0,1,0,0.0,1,0.0
Umbreon Mega Absol ex,umbreon-a3b-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Pidgeot ex,mega-pidgeot-ex-p-b,0,1,0,0.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,2,8,0,20.0,10,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,3,10,0,23.08,13,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,2,6,0,25.0,8,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,3,0,25.0,4,0.0
Unknown,,1,2,1,25.0,4,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,1,3,0,25.0,4,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,3,7,0,30.0,10,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,10,19,2,32.26,31,0.0
Mega Altaria ex,mega-altaria-ex-b1,11,21,2,32.35,34,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,1,2,0,33.33,3,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,1,2,0,33.33,3,0.0
Mega Blastoise ex Baxcalibur,mega-blastoise-ex-b1a-baxcalibur-b2a,1,2,0,33.33,3,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,2,4,0,33.33,6,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,1,2,0,33.33,3,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,4,6,1,36.36,11,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,173,292,8,36.58,473,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,10,14,1,40.0,25,0.0
Mega Gyarados ex Baxcalibur,mega-gyarados-ex-b1-baxcalibur-b2a,2,3,0,40.0,5,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,29,41,2,40.28,72,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,67,97,0,40.85,164,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,190,257,10,41.58,457,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,19,26,0,42.22,45,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,38,49,2,42.7,89,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,7,9,0,43.75,16,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,4,5,0,44.44,9,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,16,18,0,47.06,34,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,9,9,1,47.37,19,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,90,91,7,47.87,188,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,166,166,8,48.82,340,0.0
Serperior Celebi ex,serperior-celebi-ex-a1a,1,1,0,50.0,2,0.0
Mega Blaziken ex Skeledirge,mega-blaziken-ex-b1-skeledirge-b2a,1,1,0,50.0,2,0.0
Meowscarada ex Dustox,meowscarada-ex-b2a-dustox-b1,1,1,0,50.0,2,0.0
