opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Chandelure Meowth,chandelure-meowth-b2,0,2,0,0.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,0,1,1,0.0,2,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,2,0,0.0,2,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,1,0,0.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,0,1,0,0.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Darkrai ex Unown,darkrai-ex-a2-unown-a4,0,1,0,0.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Pawmot,pawmot-b2a,0,1,0,0.0,1,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Mega Lopunny ex Hitmonchan ex,mega-lopunny-ex-b1a-hitmonchan-ex-b1,0,1,0,0.0,1,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,0,1,0,0.0,1,0.0
Tyrantrum Meowth,tyrantrum-meowth-b2,0,1,0,0.0,1,0.0
Melmetal ex,melmetal-ex-b1,0,1,0,0.0,1,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Mawile ex,mega-mawile-ex-b2,0,1,0,0.0,1,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mew ex,mega-gardevoir-ex-b2-mew-ex-a1a,0,1,0,0.0,1,0.0
Magnezone Ceruledge,magnezone-b1a-ceruledge-b2a,0,1,0,0.0,1,0.0
Skarmory ex,skarmory-ex-a4,0,1,0,0.0,1,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,0,1,0,0.0,1,0.0
Meowscarada Decidueye ex,meowscarada-a2b-decidueye-ex-a3,0,1,0,0.0,1,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,0,1,0,0.0,1,0.0
Skeledirge Blacephalon ex,skeledirge-b2a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,3,14,1,16.67,18,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,1,2,1,25.0,4,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,2,4,1,28.57,7,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,1,2,0,33.33,3,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,5,8,0,38.46,13,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,2,1,40.0,5,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,9,12,0,42.86,21,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,11,14,0,44.0,25,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,15,15,1,48.39,31,0.0
Rampardos Lucario,rampardos-lucario-a2,1,0,1,50.0,2,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,1,1,0,50.0,2,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,1,0,1,50.0,2,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,2,2,0,50.0,4,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,2,2,0,50.0,4,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,4,4,0,50.0,8,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,2,2,0,50.0,4,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,1,1,0,50.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,1,1,0,50.0,2,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,1,0,50.0,2,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,4,4,0,50.0,8,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,8,4,0,66.67,12,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,3,1,0,75.0,4,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,19,5,0,79.17,24,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,2,0,0,100.0,2,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Espeon ex Sylveon ex,espeon-ex-a4-sylveon-ex-a3b,1,0,0,100.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,1,0,0,100.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,1,0,0,100.0,1,0.0
Rayquaza ex Zeraora,rayquaza-ex-p-a-zeraora-a3a,1,0,0,100.0,1,0.0
Mega Venusaur ex Venusaur,mega-venusaur-ex-b1a-venusaur-a1,1,0,0,100.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,1,0,0,100.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,2,0,0,100.0,2,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,1,0,0,100.0,1,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,1,0,0,100.0,1,0.0
Rampardos Silvally,rampardos-a2-silvally-a3a,2,0,0,100.0,2,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Solgaleo ex,solgaleo-ex-a3,1,0,0,100.0,1,0.0
Mega Altaria ex Unown,mega-altaria-ex-b1-unown-a4,1,0,0,100.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Gyarados Mantyke,gyarados-a4-mantyke-a4a,1,0,0,100.0,1,0.0
Infernape ex Moltres ex,infernape-ex-a2-moltres-ex-a1,1,0,0,100.0,1,0.0
Mismagius ex Giratina ex,mismagius-ex-a2-giratina-ex-a2b,1,0,0,100.0,1,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,1,0,0,100.0,1,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,1,0,0,100.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,1,0,0,100.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,1,0,0,100.0,1,0.0
Magnezone Galvantula,magnezone-b1a-galvantula-a3b,1,0,0,100.0,1,0.0
Wishiwashi ex Wishiwashi,wishiwashi-ex-wishiwashi-a3,1,0,0,100.0,1,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,1,0,0,100.0,1,0.0
Mega Gardevoir ex Gengar ex,mega-gardevoir-ex-b2-gengar-ex-a1,1,0,0,100.0,1,0.0
Skeledirge Armarouge ex,skeledirge-armarouge-ex-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,1,0,0,100.0,1,0.0
Gholdengo ex Alolan Muk,gholdengo-ex-b2a-alolan-muk-b2,1,0,0,100.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,1,0,0,100.0,1,0.0
Melmetal ex Galarian Perrserker,melmetal-ex-b1-galarian-perrserker-b2,1,0,0,100.0,1,0.0
