opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,1,0,0.0,1,0.0
Mega Mawile ex,mega-mawile-ex-b2,0,1,0,0.0,1,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,0,1,0,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,1,4,0,20.0,5,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,1,3,0,25.0,4,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,1,1,0,50.0,2,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,2,0,1,66.67,3,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,0,0,100.0,1,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Starmie ex Articuno ex,starmie-ex-articuno-ex-a1,1,0,0,100.0,1,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,0,0,100.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,0,0,100.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
