opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Greninja Oricorio,greninja-a1-oricorio-a3,0,2,0,0.0,2,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,0,1,0,0.0,1,0.0
Venusaur ex,venusaur-ex-a1,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mimikyu ex,mega-gardevoir-ex-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Gyarados Palkia ex,gyarados-a4-palkia-ex-a2,0,1,0,0.0,1,0.0
Solgaleo ex Cleffa,solgaleo-ex-a3-cleffa-a4,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,0,1,0,0.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Chien-Pao ex Starmie ex,chien-pao-ex-b2a-starmie-ex-a1,0,1,0,0.0,1,0.0
Meowscarada ex Ariados,meowscarada-ex-b2a-ariados-b1a,0,1,0,0.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,0,1,0,0.0,1,0.0
Porygon-Z Blacephalon ex,porygon-z-b1a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Blacephalon ex,blacephalon-ex-b2,0,1,0,0.0,1,0.0
Darkrai ex Unown,darkrai-ex-a2-unown-a4,0,1,0,0.0,1,0.0
Mega Gardevoir ex Arboliva,mega-gardevoir-ex-b2-arboliva-b2a,0,1,0,0.0,1,0.0
Pawmot Zeraora,pawmot-b2a-zeraora-a3a,0,1,0,0.0,1,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,1,0,0.0,1,0.0
Skarmory ex,skarmory-ex-a4,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,0,1,0,0.0,1,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,0,1,0,0.0,1,0.0
Suicune ex Palkia ex,suicune-ex-a4a-palkia-ex-a2,0,1,0,0.0,1,0.0
Mega Absol ex Dusknoir,mega-absol-ex-b1-dusknoir-a2,0,1,0,0.0,1,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,0,1,0,0.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,6,0,25.0,8,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,3,6,0,33.33,9,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,1,2,0,33.33,3,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,1,1,33.33,3,0.0
Chandelure Meowth,chandelure-meowth-b2,1,2,0,33.33,3,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,5,10,0,33.33,15,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,2,0,33.33,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,2,3,0,40.0,5,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,22,29,3,40.74,54,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,3,4,0,42.86,7,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,10,13,0,43.48,23,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,28,29,1,48.28,58,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,1,1,0,50.0,2,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,2,2,0,50.0,4,0.0
Oricorio,oricorio-a3,1,1,0,50.0,2,0.0
Mega Gardevoir ex Indeedee ex,mega-gardevoir-ex-b2-indeedee-ex-b1,1,1,0,50.0,2,0.0
