opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Silvally Rampardos,silvally-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Alolan Raichu ex Alolan Raichu,alolan-raichu-ex-a3-alolan-raichu-b2,0,1,0,0.0,1,0.0
Mega Pidgeot ex,mega-pidgeot-ex-p-b,0,1,0,0.0,1,0.0
Galarian Obstagoon Spiritomb,galarian-obstagoon-spiritomb-b2,0,1,0,0.0,1,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,0,1,0,0.0,1,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Pawmot Bellibolt ex,pawmot-a2b-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Machamp ex Machamp,machamp-ex-a1-machamp-b2,0,1,0,0.0,1,0.0
Donphan ex Mega Lopunny ex,donphan-ex-a4-mega-lopunny-ex-b1a,0,1,0,0.0,1,0.0
Galvantula Heliolisk,galvantula-a3b-heliolisk-b1a,0,1,0,0.0,1,0.0
Darkrai ex Guzzlord ex,darkrai-ex-a2-guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Magneton Blissey,magneton-a1-blissey-a4,0,1,0,0.0,1,0.0
Magnezone Alolan Raichu,magnezone-b1a-alolan-raichu-b2,0,0,1,0.0,1,0.0
Rampardos,rampardos-a2,0,1,0,0.0,1,0.0
Quaquaval Meowth,quaquaval-b2a-meowth-b2,0,1,0,0.0,1,0.0
Umbreon Mega Absol ex,umbreon-a3b-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,3,0,0.0,3,0.0
Hydreigon Darkrai ex,hydreigon-b1-darkrai-ex-a2,0,3,0,0.0,3,0.0
Magnezone Honchkrow,magnezone-b1a-honchkrow-b1,0,2,0,0.0,2,0.0
Mega Altaria ex Giratina ex,mega-altaria-ex-b1-giratina-ex-a2b,0,1,0,0.0,1,0.0
Annihilape Aerodactyl ex,annihilape-b2a-aerodactyl-ex-a1a,0,1,0,0.0,1,0.0
