opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,0,4,0,0.0,4,0.0
Mega Altaria ex,mega-altaria-ex-b1,0,1,0,0.0,1,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,0,1,0,0.0,1,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,1,0,0.0,1,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,2,3,1,33.33,6,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,1,1,0,50.0,2,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,5,2,0,71.43,7,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,3,1,0,75.0,4,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,1,0,0,100.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,0,0,100.0,1,0.0
Ho-Oh ex Dragonite,ho-oh-ex-a4-dragonite-a1,1,0,0,100.0,1,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,0,0,100.0,1,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,0,0,100.0,1,0.0
Mega Lopunny ex Hitmonchan,mega-lopunny-ex-b1a-hitmonchan-a1,1,0,0,100.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Rapidash ex Skeledirge,rapidash-ex-b1-skeledirge-b2a,1,0,0,100.0,1,0.0
