opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Vanilluxe Alcremie,vanilluxe-b2-alcremie-a3b,0,2,0,0.0,2,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,0,1,0,0.0,1,0.0
Suicune ex Palkia ex,suicune-ex-a4a-palkia-ex-a2,0,1,0,0.0,1,0.0
Skarmory ex Indeedee ex,skarmory-ex-a4-indeedee-ex-b1,0,0,1,0.0,1,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,1,0,0.0,1,0.0
Magnezone Blissey,magnezone-b1a-blissey-a4,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Silvally,silvally-a3a,0,1,0,0.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,0,0.0,2,0.0
Rampardos Lucario,rampardos-lucario-a2,0,2,0,0.0,2,0.0
Jumpluff ex Mega Swampert ex,jumpluff-ex-a4a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Mega Altaria ex,mega-altaria-ex-b1,2,3,2,28.57,7,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,2,0,33.33,3,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,9,12,2,39.13,23,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,2,3,0,40.0,5,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,16,21,3,40.0,40,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,9,9,1,47.37,19,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,20,20,1,48.78,41,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,5,5,0,50.0,10,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,1,0,1,50.0,2,0.0
Chandelure Meloetta,chandelure-meloetta-b2,1,1,0,50.0,2,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,1,1,0,50.0,2,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,2,1,1,50.0,4,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,1,1,0,50.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,5,5,0,50.0,10,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,13,11,2,50.0,26,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,10,7,1,55.56,18,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,25,15,0,62.5,40,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,2,1,0,66.67,3,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,1,0,66.67,3,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,2,1,0,66.67,3,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,2,1,0,66.67,3,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,4,1,0,80.0,5,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,5,1,0,83.33,6,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,7,1,0,87.5,8,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,4,0,0,100.0,4,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,4,0,0,100.0,4,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,2,0,0,100.0,2,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,2,0,0,100.0,2,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,2,0,0,100.0,2,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,2,0,0,100.0,2,0.0
Suicune ex Aurorus,suicune-ex-a4a-aurorus-b2,1,0,0,100.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,0,0,100.0,1,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Mega Altaria ex Meowth,mega-altaria-ex-b1-meowth-b2,1,0,0,100.0,1,0.0
Mega Steelix ex Pichu,mega-steelix-ex-b1a-pichu-a4,1,0,0,100.0,1,0.0
Mega Blastoise ex Baxcalibur,mega-blastoise-ex-b1a-baxcalibur-b2a,1,0,0,100.0,1,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,1,0,0,100.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,1,0,0,100.0,1,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,1,0,0,100.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,1,0,0,100.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,1,0,0,100.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,1,0,0,100.0,1,0.0
Stoutland Rampardos,stoutland-a3a-rampardos-a2,1,0,0,100.0,1,0.0
Solgaleo ex Entei ex,solgaleo-ex-a3-entei-ex-a4a,1,0,0,100.0,1,0.0
Chandelure Mismagius ex,chandelure-b2-mismagius-ex-a2,1,0,0,100.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,0,0,100.0,1,0.0
Mienshao Rampardos,mienshao-b1a-rampardos-a2,1,0,0,100.0,1,0.0
Mega Absol ex Absol,mega-absol-ex-b1-absol-a4,1,0,0,100.0,1,0.0
Mega Altaria ex Gengar,mega-altaria-ex-b1-gengar-a2a,1,0,0,100.0,1,0.0
Mega Venusaur ex Venusaur,mega-venusaur-ex-b1a-venusaur-a1,1,0,0,100.0,1,0.0
