opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,0,6,0,0.0,6,0.0
Mega Absol ex Dusknoir,mega-absol-ex-b1-dusknoir-a2,0,3,0,0.0,3,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,0,2,1,0.0,3,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,0,4,0,0.0,4,0.0
Mega Kangaskhan ex Arceus ex,mega-kangaskhan-ex-b2-arceus-ex-a2a,0,1,0,0.0,1,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,0,1,0.0,1,0.0
Meowscarada ex Arboliva,meowscarada-ex-arboliva-b2a,0,1,0,0.0,1,0.0
Chandelure Persian,chandelure-persian-b2,0,1,0,0.0,1,0.0
Guzzlord ex Naganadel,guzzlord-ex-naganadel-a3a,0,1,0,0.0,1,0.0
Unknown,,0,1,0,0.0,1,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,0,1,0,0.0,1,0.0
Buzzwole ex Pheromosa,buzzwole-ex-pheromosa-a3a,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Gholdengo ex Probopass ex,gholdengo-ex-b2a-probopass-ex-a2a,0,1,0,0.0,1,0.0
Porygon-Z Blacephalon ex,porygon-z-b1a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,0,1,0,0.0,1,0.0
Melmetal ex,melmetal-ex-b1,0,1,0,0.0,1,0.0
Armarouge ex Greninja,armarouge-ex-b2a-greninja-a1,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,0,0,1,0.0,1,0.0
