opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Steelix ex Probopass,mega-steelix-ex-probopass-b1a,0,0,1,0.0,1,0.0
Garchomp ex Sylveon ex,garchomp-ex-a2a-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Galarian Obstagoon Spiritomb,galarian-obstagoon-spiritomb-b2,0,1,0,0.0,1,0.0
Yanmega ex Leafeon ex,yanmega-ex-a2-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Mega Venusaur ex Venusaur,mega-venusaur-ex-venusaur-b1a,0,1,0,0.0,1,0.0
Dragalge ex Nihilego,dragalge-ex-b1-nihilego-a3a,0,1,0,0.0,1,0.0
Bellibolt ex Jolteon ex,bellibolt-ex-b2a-jolteon-ex-b1,0,1,0,0.0,1,0.0
Flareon ex Leafeon ex,flareon-ex-a3b-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Solgaleo ex Mega Kangaskhan ex,solgaleo-ex-a3-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Armarouge ex Ho-Oh ex,armarouge-ex-b2a-ho-oh-ex-a4,0,1,0,0.0,1,0.0
Serperior Eevee ex,serperior-a1a-eevee-ex-a3b,0,1,0,0.0,1,0.0
Raichu ex Alolan Raichu ex,raichu-ex-p-a-alolan-raichu-ex-a3,0,1,0,0.0,1,0.0
Teal Mask Ogerpon ex Serperior,teal-mask-ogerpon-ex-b2-serperior-a1a,0,1,0,0.0,1,0.0
Garchomp Suicune ex,garchomp-a2-suicune-ex-a4a,0,1,0,0.0,1,0.0
Mega Lopunny ex Lopunny,mega-lopunny-ex-lopunny-b1a,0,1,0,0.0,1,0.0
Skarmory ex Indeedee ex,skarmory-ex-a4-indeedee-ex-b1,0,0,1,0.0,1,0.0
Entei ex Blacephalon ex,entei-ex-a4a-blacephalon-ex-b2,0,2,0,0.0,2,0.0
Arceus ex Mega Kangaskhan ex,arceus-ex-a2a-mega-kangaskhan-ex-b2,0,2,0,0.0,2,0.0
Armarouge ex Indeedee ex,armarouge-ex-b2a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Leafeon ex Flareon ex,leafeon-ex-a2a-flareon-ex-a3b,0,1,0,0.0,1,0.0
Mega Gyarados ex Manaphy,mega-gyarados-ex-b1-manaphy-a2,0,1,0,0.0,1,0.0
Tauros ex Rampardos,tauros-ex-b1-rampardos-a2,0,1,0,0.0,1,0.0
Pichu Oricorio,pichu-a4-oricorio-a3,0,1,0,0.0,1,0.0
Alolan Ninetales ex Araquanid,alolan-ninetales-ex-b2-araquanid-a3,0,1,0,0.0,1,0.0
Incineroar ex Skeledirge,incineroar-ex-a3-skeledirge-b2a,0,1,0,0.0,1,0.0
Mienshao Rampardos,mienshao-b1a-rampardos-a2,0,1,0,0.0,1,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Hydreigon Guzzlord ex,hydreigon-b1-guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Magnezone Alolan Raichu,magnezone-b1a-alolan-raichu-b2,0,1,0,0.0,1,0.0
Meowscarada ex Dustox,meowscarada-ex-b2a-dustox-b1,0,1,0,0.0,1,0.0
Bellibolt ex Magneton,bellibolt-ex-b2a-magneton-a1,0,1,0,0.0,1,0.0
Magnezone Luxray,magnezone-b1a-luxray-a2,0,1,0,0.0,1,0.0
Melmetal ex Galarian Perrserker,melmetal-ex-b1-galarian-perrserker-b2,0,1,0,0.0,1,0.0
Alolan Raichu ex Alolan Raichu,alolan-raichu-ex-a3-alolan-raichu-b2,0,1,0,0.0,1,0.0
Guzzlord ex Naganadel,guzzlord-ex-naganadel-a3a,0,1,0,0.0,1,0.0
Mega Steelix ex,mega-steelix-ex-b1a,0,1,0,0.0,1,0.0
Tinkaton ex Gholdengo ex,tinkaton-ex-a2b-gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Meowscarada ex Rillaboom,meowscarada-ex-b2a-rillaboom-b1,0,1,0,0.0,1,0.0
