opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,0,4,0,0.0,4,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,3,0,0.0,3,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,2,0,0.0,2,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,2,0,0.0,2,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,0,2,0,0.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,0,2,0,0.0,2,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,1,0,0.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Machamp Rampardos,machamp-b2-rampardos-a2,0,1,0,0.0,1,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,0,1,0,0.0,1,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,0,1,0,0.0,1,0.0
Paldean Clodsire ex Naganadel,paldean-clodsire-ex-a2b-naganadel-a3a,0,1,0,0.0,1,0.0
Magnezone Mega Kangaskhan ex,magnezone-b1a-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Incineroar ex Entei ex,incineroar-ex-a3-entei-ex-a4a,0,1,0,0.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mimikyu ex,mega-gardevoir-ex-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Unknown,,0,1,0,0.0,1,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Greninja ex Chien-Pao ex,greninja-ex-b1-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,1,7,0,12.5,8,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,3,0,25.0,4,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,1,3,0,25.0,4,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,3,0,25.0,4,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,1,2,0,33.33,3,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,1,1,33.33,3,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,1,2,0,33.33,3,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,17,30,0,36.17,47,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,3,2,2,42.86,7,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,35,45,1,43.21,81,0.0
Mega Altaria ex,mega-altaria-ex-b1,10,10,2,45.45,22,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,38,41,1,47.5,80,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,1,0,50.0,2,0.0
Chandelure Meowth,chandelure-meowth-b2,1,1,0,50.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,2,1,1,50.0,4,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,1,1,0,50.0,2,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,1,1,0,50.0,2,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,1,1,0,50.0,2,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,1,1,0,50.0,2,0.0
Mega Kangaskhan ex Pichu,mega-kangaskhan-ex-b2-pichu-a4,1,0,1,50.0,2,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,5,5,0,50.0,10,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,2,0,50.0,4,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,6,5,0,54.55,11,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,50,35,0,58.82,85,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,6,3,1,60.0,10,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,30,17,2,61.22,49,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,21,11,2,61.76,34,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,4,2,0,66.67,6,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,2,1,0,66.67,3,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,39,17,2,67.24,58,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,7,1,2,70.0,10,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,3,1,0,75.0,4,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,7,1,0,87.5,8,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,8,1,0,88.89,9,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,2,0,0,100.0,2,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,2,0,0,100.0,2,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,6,0,0,100.0,6,0.0
Jumpluff ex Mega Swampert ex,jumpluff-ex-a4a-mega-swampert-ex-b2,2,0,0,100.0,2,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,2,0,0,100.0,2,0.0
Chandelure Meloetta,chandelure-meloetta-b2,2,0,0,100.0,2,0.0
Mega Mawile ex,mega-mawile-ex-b2,1,0,0,100.0,1,0.0
Gengar Mega Kangaskhan ex,gengar-a1-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,1,0,0,100.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,1,0,0,100.0,1,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,1,0,0,100.0,1,0.0
Silvally,silvally-a3a,1,0,0,100.0,1,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-b1a,1,0,0,100.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,1,0,0,100.0,1,0.0
Mega Gardevoir ex,mega-gardevoir-ex-b2,1,0,0,100.0,1,0.0
