opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,0,3,0,0.0,3,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,0,3,0,0.0,3,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,0,3,0,0.0,3,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,2,0,0.0,2,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,2,0,0.0,2,0.0
Baxcalibur Palkia ex,baxcalibur-b2a-palkia-ex-a2,0,1,0,0.0,1,0.0
Magneton Blissey,magneton-a1-blissey-a4,0,1,0,0.0,1,0.0
Magnezone Alolan Raichu,magnezone-b1a-alolan-raichu-b2,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Oricorio,oricorio-a3,0,1,0,0.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Jolteon ex Magnezone,jolteon-ex-b1-magnezone-a2,0,1,0,0.0,1,0.0
Skeledirge Typhlosion,skeledirge-b2a-typhlosion-a4,0,1,0,0.0,1,0.0
Skeledirge Turtonator,skeledirge-b2a-turtonator-a3,0,1,0,0.0,1,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Swampert ex Alolan Muk,mega-swampert-ex-alolan-muk-b2,0,1,0,0.0,1,0.0
Espeon ex Indeedee ex,espeon-ex-a4-indeedee-ex-b1,0,1,0,0.0,1,0.0
Serperior Mega Pinsir ex,serperior-a1a-mega-pinsir-ex-b1,0,1,0,0.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Hydreigon,hydreigon-b1,0,1,0,0.0,1,0.0
Hitmonchan ex Staraptor,hitmonchan-ex-b1-staraptor-a2a,0,1,0,0.0,1,0.0
Mega Lopunny ex Hitmonchan,mega-lopunny-ex-b1a-hitmonchan-a1,0,1,0,0.0,1,0.0
Incineroar ex,incineroar-ex-a3,0,1,0,0.0,1,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,0,1,0,0.0,1,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Pikachu ex Tapu Koko ex,pikachu-ex-a2b-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Armarouge ex Mega Charizard Y ex,armarouge-ex-b2a-mega-charizard-y-ex-b1a,0,1,0,0.0,1,0.0
Magnezone Silvally,magnezone-b1a-silvally-a3a,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Meowscarada ex Ariados,meowscarada-ex-b2a-ariados-b1a,0,1,0,0.0,1,0.0
Sylveon ex Solgaleo ex,sylveon-ex-a3b-solgaleo-ex-a3,0,1,0,0.0,1,0.0
Mega Gardevoir ex Indeedee ex,mega-gardevoir-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Jolteon ex Greninja,jolteon-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Hydreigon Silvally,hydreigon-b1-silvally-a3a,0,1,0,0.0,1,0.0
Darkrai ex Guzzlord ex,darkrai-ex-a2-guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,0,1,0,0.0,1,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,0,1,0,0.0,1,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Baxcalibur Suicune ex,baxcalibur-b2a-suicune-ex-a4a,0,1,0,0.0,1,0.0
Unknown,,1,3,1,20.0,5,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,6,0,25.0,8,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,3,0,25.0,4,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,32,81,3,27.59,116,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,2,4,1,28.57,7,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,3,7,0,30.0,10,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,5,10,1,31.25,16,0.0
Jolteon ex Leafeon ex,jolteon-ex-b1-leafeon-ex-a2a,1,2,0,33.33,3,0.0
Dialga ex Gholdengo ex,dialga-ex-a2-gholdengo-ex-b2a,1,2,0,33.33,3,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,1,2,0,33.33,3,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,2,3,0,40.0,5,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,2,3,0,40.0,5,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,2,3,0,40.0,5,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,2,3,0,40.0,5,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,4,5,1,40.0,10,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,10,12,2,41.67,24,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,19,22,2,44.19,43,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,4,5,0,44.44,9,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,71,76,7,46.1,154,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,17,17,2,47.22,36,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,43,41,4,48.86,88,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,4,4,0,50.0,8,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,1,1,0,50.0,2,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,1,1,0,50.0,2,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,1,0,50.0,2,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,1,1,0,50.0,2,0.0
Magnezone Galvantula,magnezone-b1a-galvantula-a3b,1,1,0,50.0,2,0.0
Mega Medicham ex Pichu,mega-medicham-ex-p-b-pichu-a4,1,1,0,50.0,2,0.0
Mega Swampert ex Swampert,mega-swampert-ex-swampert-b2,1,1,0,50.0,2,0.0
Magnezone Blissey,magnezone-b1a-blissey-a4,1,1,0,50.0,2,0.0
Meowscarada Decidueye ex,meowscarada-a2b-decidueye-ex-a3,1,1,0,50.0,2,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,3,3,0,50.0,6,0.0
Flareon ex Skeledirge,flareon-ex-a3b-skeledirge-b2a,1,1,0,50.0,2,0.0
Leafeon ex Mega Pinsir ex,leafeon-ex-a2a-mega-pinsir-ex-b1,2,1,1,50.0,4,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,2,2,0,50.0,4,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,5,5,0,50.0,10,0.0
Mega Altaria ex,mega-altaria-ex-b1,5,5,0,50.0,10,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,77,63,5,53.1,145,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,7,6,0,53.85,13,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,49,38,2,55.06,89,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,15,11,1,55.56,27,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,8,4,2,57.14,14,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,4,2,1,57.14,7,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,3,2,0,60.0,5,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,3,2,0,60.0,5,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,41,24,2,61.19,67,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,7,4,0,63.64,11,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,2,1,0,66.67,3,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,2,1,0,66.67,3,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,2,1,0,66.67,3,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,2,1,0,66.67,3,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,2,1,0,66.67,3,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,2,1,0,66.67,3,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,15,6,0,71.43,21,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,7,2,0,77.78,9,0.0
