opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,6,0,0.0,6,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,6,0,0.0,6,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,0,2,0,0.0,2,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,1,1,0.0,2,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,0,0.0,2,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,0,2,0,0.0,2,0.0
Jolteon ex Leafeon ex,jolteon-ex-b1-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Baxcalibur Palkia ex,baxcalibur-b2a-palkia-ex-a2,0,1,0,0.0,1,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,0,1,0,0.0,1,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Hydreigon Darkrai ex,hydreigon-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,1,0,0.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,0,1,0.0,1,0.0
Jumpluff ex Galarian Cursola,jumpluff-ex-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,0,1,0,0.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,0,1,0,0.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,1,5,0,16.67,6,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,2,7,0,22.22,9,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,5,14,0,26.32,19,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,13,23,0,36.11,36,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,4,7,0,36.36,11,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,3,5,0,37.5,8,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,10,14,1,40.0,25,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,6,7,0,46.15,13,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,17,19,0,47.22,36,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,1,0,50.0,2,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,1,1,0,50.0,2,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,1,0,50.0,2,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,9,7,0,56.25,16,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,2,1,0,66.67,3,0.0
