opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Gengar ex Mega Gardevoir ex,gengar-ex-a1-mega-gardevoir-ex-b2,0,2,0,0.0,2,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,0,2,0,0.0,2,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,3,0,0.0,3,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,3,0,0.0,3,0.0
Celebi ex Serperior,celebi-ex-serperior-a1a,0,1,0,0.0,1,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,0,1,0,0.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,0,0,1,0.0,1,0.0
Mega Steelix ex,mega-steelix-ex-b1a,0,1,0,0.0,1,0.0
Arceus ex Pichu,arceus-ex-a2a-pichu-a4,0,1,0,0.0,1,0.0
Flareon ex Skeledirge,flareon-ex-a3b-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,0,1,0,0.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,1,0,0.0,1,0.0
Chandelure Meowth,chandelure-meowth-b2,0,1,0,0.0,1,0.0
Baxcalibur Suicune ex,baxcalibur-b2a-suicune-ex-a4a,0,1,0,0.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,0,1,0,0.0,1,0.0
Rayquaza ex Zeraora,rayquaza-ex-p-a-zeraora-a3a,0,1,0,0.0,1,0.0
Porygon-Z Blacephalon ex,porygon-z-b1a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Maushold,maushold-b2a,0,1,0,0.0,1,0.0
Armarouge ex Delcatty,armarouge-ex-b2a-delcatty-a3,0,1,0,0.0,1,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,1,0,0.0,1,0.0
Jumpluff ex Pachirisu ex,jumpluff-ex-a4a-pachirisu-ex-a2,0,1,0,0.0,1,0.0
Meowscarada ex Dustox,meowscarada-ex-b2a-dustox-b1,0,1,0,0.0,1,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Mega Venusaur ex Pichu,mega-venusaur-ex-b1a-pichu-a4,0,1,0,0.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,1,0,0.0,1,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,8,24,1,24.24,33,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,1,2,1,25.0,4,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,2,6,0,25.0,8,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,9,24,0,27.27,33,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,3,7,0,30.0,10,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,6,14,0,30.0,20,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,2,4,0,33.33,6,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,1,2,0,33.33,3,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,8,13,1,36.36,22,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,3,0,40.0,5,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,2,3,0,40.0,5,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,6,9,0,40.0,15,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,1,1,0,50.0,2,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,1,1,0,50.0,2,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,1,0,50.0,2,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,2,2,0,50.0,4,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,1,1,0,50.0,2,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,1,1,0,50.0,2,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,3,3,0,50.0,6,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,12,7,0,63.16,19,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,4,2,0,66.67,6,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,6,1,0,85.71,7,0.0
Darkrai ex Unown,darkrai-ex-a2-unown-a4,1,0,0,100.0,1,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,1,0,0,100.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,1,0,0,100.0,1,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex Teal Mask Ogerpon ex,mega-altaria-ex-b1-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,0,0,100.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,1,0,0,100.0,1,0.0
Tyrantrum,tyrantrum-b2,1,0,0,100.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,1,0,0,100.0,1,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Mega Lopunny ex Elekid,mega-lopunny-ex-b1a-elekid-a4,1,0,0,100.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Wugtrio ex Chien-Pao ex,wugtrio-ex-a2b-chien-pao-ex-b2a,1,0,0,100.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,1,0,0,100.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,1,0,0,100.0,1,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,1,0,0,100.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a1,1,0,0,100.0,1,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,1,0,0,100.0,1,0.0
