opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,0,2,0,0.0,2,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,2,0,0.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,2,0,0.0,2,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,0,1,1,0.0,2,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,0,2,0,0.0,2,0.0
Armarouge ex Indeedee ex,armarouge-ex-b2a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Gholdengo ex Magnezone,gholdengo-ex-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Magnezone Silvally,magnezone-b1a-silvally-a3a,0,1,0,0.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,0,1,0,0.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,0,1,0,0.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,0,1,0,0.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,1,0,0.0,1,0.0
Alolan Ninetales ex Swellow,alolan-ninetales-ex-swellow-b2,0,1,0,0.0,1,0.0
Unknown,,0,1,0,0.0,1,0.0
Jumpluff ex Mega Swampert ex,jumpluff-ex-a4a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,0,1,0.0,1,0.0
Annihilape Rampardos,annihilape-b2a-rampardos-a2,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,0,1,0,0.0,1,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Stoutland Rampardos,stoutland-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,0,1,0,0.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,0,1,0,0.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Articuno ex Chien-Pao ex,articuno-ex-a1-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,1,5,0,16.67,6,0.0
