opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Pawmot Oricorio,pawmot-b2a-oricorio-a3,0,3,0,0.0,3,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,0,4,0,0.0,4,0.0
Oricorio,oricorio-a3,0,2,0,0.0,2,0.0
Charizard ex,charizard-ex-a2b,0,1,1,0.0,2,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,0,1,1,0.0,2,0.0
Quaquaval,quaquaval-b2a,0,2,0,0.0,2,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,2,0,0.0,2,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,2,0,0.0,2,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,2,0,0.0,2,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,2,0,0.0,2,0.0
Vanilluxe Alcremie,vanilluxe-b2-alcremie-a3b,0,1,0,0.0,1,0.0
Suicune ex Mega Swampert ex,suicune-ex-a4a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Mega Steelix ex Arboliva,mega-steelix-ex-b1a-arboliva-b2a,0,1,0,0.0,1,0.0
Stoutland Rampardos,stoutland-a3a-rampardos-a2,0,0,1,0.0,1,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Typhlosion Skeledirge,typhlosion-a4-skeledirge-b2a,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Bellibolt ex Jolteon ex,bellibolt-ex-b2a-jolteon-ex-b1,0,1,0,0.0,1,0.0
Pawmot Oricorio,pawmot-a2b-oricorio-a3,0,1,0,0.0,1,0.0
Raikou ex Pawmot,raikou-ex-a4a-pawmot-a2b,0,1,0,0.0,1,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Meowscarada ex Ariados,meowscarada-ex-b2a-ariados-b1a,0,1,0,0.0,1,0.0
Mega Swampert ex Indeedee ex,mega-swampert-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Vileplume Shiinotic,vileplume-a1-shiinotic-a3a,0,1,0,0.0,1,0.0
Porygon-Z Blacephalon ex,porygon-z-a2-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Bellibolt ex Alolan Raichu,bellibolt-ex-b2a-alolan-raichu-b2,0,1,0,0.0,1,0.0
Suicune ex Palkia ex,suicune-ex-a4a-palkia-ex-a2,0,1,0,0.0,1,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,0,1,0,0.0,1,0.0
Mega Steelix ex,mega-steelix-ex-b1a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Greninja,alolan-ninetales-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Flareon ex Entei ex,flareon-ex-a3b-entei-ex-a4a,0,1,0,0.0,1,0.0
Mega Lopunny ex Mienshao,mega-lopunny-ex-mienshao-b1a,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Starmie ex Articuno ex,starmie-ex-articuno-ex-a1,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Celebi ex,mega-kangaskhan-ex-b2-celebi-ex-a1a,0,1,0,0.0,1,0.0
Bellibolt ex,bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Rampardos Lucario,rampardos-lucario-a2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,10,0,9.09,11,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,6,0,14.29,7,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,1,5,0,16.67,6,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,4,17,0,19.05,21,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,1,4,0,20.0,5,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,2,1,25.0,4,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,4,8,2,28.57,14,0.0
