opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,0,0.0,2,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,2,0,0.0,2,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Mega Lopunny ex Primeape,mega-lopunny-ex-b1a-primeape-a1,0,1,0,0.0,1,0.0
Magnezone Galvantula,magnezone-b1a-galvantula-a3b,0,1,0,0.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,1,0,0.0,1,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,0,1,0,0.0,1,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Charizard ex Oricorio,charizard-ex-a1-oricorio-a3,0,1,0,0.0,1,0.0
Pikachu ex Oricorio,pikachu-ex-a1-oricorio-a3,0,1,0,0.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Xatu Galarian Cursola,xatu-a4-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Stoutland Rampardos,stoutland-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,0,1,0,0.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,0,1,0,0.0,1,0.0
Darkrai ex Unown,darkrai-ex-a2-unown-a4,0,1,0,0.0,1,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,0,1,0.0,1,0.0
Mega Venusaur ex Pichu,mega-venusaur-ex-b1a-pichu-a4,0,1,0,0.0,1,0.0
Gengar ex Mega Gardevoir ex,gengar-ex-a1-mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,0,1,0,0.0,1,0.0
Skarmory ex Indeedee ex,skarmory-ex-a4-indeedee-ex-b1,0,1,0,0.0,1,0.0
