opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex,mega-altaria-ex-b1,0,6,0,0.0,6,0.0
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,2,0,0.0,2,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,2,0,0.0,2,0.0
Mega Swampert ex,mega-swampert-ex-b2,0,2,0,0.0,2,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Gardevoir ex,mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Bellibolt ex Bellibolt,bellibolt-ex-b2a-bellibolt-b2,0,1,0,0.0,1,0.0
Aerodactyl ex Annihilape,aerodactyl-ex-a1a-annihilape-b2a,0,1,0,0.0,1,0.0
Jolteon ex Leafeon ex,jolteon-ex-b1-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Silvally,silvally-a3a,0,1,0,0.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,0,1,0,0.0,1,0.0
Baxcalibur Suicune ex,baxcalibur-b2a-suicune-ex-a4a,0,1,0,0.0,1,0.0
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,0,1,0,0.0,1,0.0
Mega Medicham ex Pichu,mega-medicham-ex-p-b-pichu-a4,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,1,3,0,25.0,4,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,1,2,0,33.33,3,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,2,0,33.33,3,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,3,6,0,33.33,9,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,8,16,0,33.33,24,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,11,16,1,39.29,28,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,6,8,1,40.0,15,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,2,3,0,40.0,5,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,15,18,0,45.45,33,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,5,6,0,45.45,11,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,4,4,0,50.0,8,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,1,1,0,50.0,2,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,1,1,0,50.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,1,1,0,50.0,2,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,3,3,0,50.0,6,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,5,4,1,50.0,10,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,9,4,2,60.0,15,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,3,2,0,60.0,5,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,5,2,0,71.43,7,0.0
Greninja Mega Kangaskhan ex,greninja-a1-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,1,0,0,100.0,1,0.0
Arceus ex Pichu,arceus-ex-a2a-pichu-a4,1,0,0,100.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,3,0,0,100.0,3,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,1,0,0,100.0,1,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,1,0,0,100.0,1,0.0
Mega Absol ex Galarian Obstagoon,mega-absol-ex-b1-galarian-obstagoon-b2,1,0,0,100.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,1,0,0,100.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,1,0,0,100.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,2,0,0,100.0,2,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,1,0,0,100.0,1,0.0
Mewtwo ex Giratina ex,mewtwo-ex-a1-giratina-ex-a2b,1,0,0,100.0,1,0.0
Mega Lopunny ex Rampardos,mega-lopunny-ex-b1a-rampardos-a2,1,0,0,100.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,1,0,0,100.0,1,0.0
Pawmot Oricorio,pawmot-b2a-oricorio-a3,1,0,0,100.0,1,0.0
Armarouge ex Charmeleon,armarouge-ex-b2a-charmeleon-b1a,1,0,0,100.0,1,0.0
Bellibolt ex Heliolisk,bellibolt-ex-b2a-heliolisk-b1a,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,1,0,0,100.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,1,0,0,100.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,0,0,100.0,1,0.0
Aurorus Baxcalibur,aurorus-b2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,1,0,0,100.0,1,0.0
Mega Altaria ex Furfrou,mega-altaria-ex-b1-furfrou-b1a,1,0,0,100.0,1,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,0,0,100.0,1,0.0
Mega Blaziken ex Greninja,mega-blaziken-ex-b1-greninja-a1,1,0,0,100.0,1,0.0
Xatu Galarian Cursola,xatu-a4-galarian-cursola-a4a,1,0,0,100.0,1,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,1,0,0,100.0,1,0.0
