opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,0,6,1,0.0,7,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,0,3,0,0.0,3,0.0
Solgaleo ex Entei ex,solgaleo-ex-a3-entei-ex-a4a,0,1,0,0.0,1,0.0
Chandelure Greavard,chandelure-b2-greavard-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex,mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Lunala ex Galarian Cursola,lunala-ex-a3-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Skeledirge Entei ex,skeledirge-b2a-entei-ex-a4a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mimikyu ex,mega-gardevoir-ex-mimikyu-ex-b2,0,2,0,0.0,2,0.0
Entei ex Mega Blaziken ex,entei-ex-a4a-mega-blaziken-ex-b1,0,2,0,0.0,2,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,2,0,0.0,2,0.0
Greninja ex Greninja,greninja-ex-b1-greninja-a1,0,2,0,0.0,2,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,2,0,0.0,2,0.0
Unknown,,0,2,0,0.0,2,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,0,2,0,0.0,2,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,0,2,0,0.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,0,2,0,0.0,2,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Decidueye ex Meowscarada ex,decidueye-ex-a3-meowscarada-ex-b2a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Quaquaval Pichu,quaquaval-b2a-pichu-a4,0,1,0,0.0,1,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Lunala ex Giratina ex,lunala-ex-a3-giratina-ex-a2b,0,1,0,0.0,1,0.0
Solgaleo ex Cleffa,solgaleo-ex-a3-cleffa-a4,0,1,0,0.0,1,0.0
Mega Mawile ex,mega-mawile-ex-b2,0,1,0,0.0,1,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Mega Altaria ex Espathra,mega-altaria-ex-b1-espathra-b2a,0,1,0,0.0,1,0.0
Gyarados Mega Kangaskhan ex,gyarados-a4-mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,0,1,0,0.0,1,0.0
Alolan Ninetales ex Silvally,alolan-ninetales-ex-b2-silvally-a3a,0,1,0,0.0,1,0.0
Gyarados Palkia ex,gyarados-a4-palkia-ex-a2,0,1,0,0.0,1,0.0
Wishiwashi ex Wishiwashi,wishiwashi-ex-wishiwashi-a3,0,1,0,0.0,1,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,0,0,1,0.0,1,0.0
Rampardos Meowth,rampardos-a2-meowth-b2,0,1,0,0.0,1,0.0
Mega Venusaur ex Golurk,mega-venusaur-ex-b1a-golurk-b1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mew ex,mega-gardevoir-ex-b2-mew-ex-a1a,0,1,0,0.0,1,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,0,1,0,0.0,1,0.0
Meowscarada Decidueye ex,meowscarada-a2b-decidueye-ex-a3,0,1,0,0.0,1,0.0
Alolan Ninetales ex Greninja,alolan-ninetales-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Gyarados Chien-Pao ex,gyarados-a4-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Flareon ex Entei ex,flareon-ex-a3b-entei-ex-a4a,0,1,0,0.0,1,0.0
Victreebel Chingling,victreebel-a1-chingling-b1,0,1,0,0.0,1,0.0
Meowscarada ex Dustox,meowscarada-ex-b2a-dustox-b1,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Tinkaton ex Dialga ex,tinkaton-ex-a2b-dialga-ex-a2,0,1,0,0.0,1,0.0
Mega Blaziken ex Magby,mega-blaziken-ex-b1-magby-a4,0,1,0,0.0,1,0.0
Mega Mawile ex Indeedee ex,mega-mawile-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Indeedee ex,mega-gardevoir-ex-b2-indeedee-ex-b1,0,1,0,0.0,1,0.0
Blastoise ex Mantyke,blastoise-ex-a1-mantyke-a4a,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Chandelure Persian,chandelure-persian-b2,0,1,0,0.0,1,0.0
Magnezone Bellibolt ex,magnezone-a2-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Jolteon ex Leafeon ex,jolteon-ex-b1-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Gengar ex Mega Gardevoir ex,gengar-ex-a1-mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Mega Medicham ex Swanna,mega-medicham-ex-p-b-swanna-a4,0,1,0,0.0,1,0.0
Raikou ex Pawmot,raikou-ex-a4a-pawmot-b2a,0,1,0,0.0,1,0.0
Blacephalon ex Skeledirge,blacephalon-ex-b2-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,6,0,14.29,7,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,1,5,0,16.67,6,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,6,23,1,20.0,30,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,4,0,20.0,5,0.0
Chandelure Meowth,chandelure-meowth-b2,1,3,1,20.0,5,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,2,7,0,22.22,9,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,5,16,0,23.81,21,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,1,3,0,25.0,4,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,2,6,0,25.0,8,0.0
Silvally,silvally-a3a,1,2,1,25.0,4,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,34,91,0,27.2,125,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,17,45,0,27.42,62,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,10,26,0,27.78,36,0.0
Porygon-Z Blacephalon ex,porygon-z-b1a-blacephalon-ex-b2,1,2,0,33.33,3,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,1,2,0,33.33,3,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,1,1,1,33.33,3,0.0
