opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Altaria ex Indeedee ex,mega-altaria-ex-indeedee-ex-b1,0,2,0,0.0,2,0.0
Rampardos Lucario,rampardos-lucario-a2,0,2,0,0.0,2,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,2,0,0.0,2,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,0,2,0,0.0,2,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,0,3,0,0.0,3,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,0,1,0,0.0,1,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Mega Altaria ex Galarian Cursola,mega-altaria-ex-b1-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,0,1,0,0.0,1,0.0
Mega Venusaur ex Pichu,mega-venusaur-ex-b1a-pichu-a4,0,1,0,0.0,1,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,0,1,0,0.0,1,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,0,1,0,0.0,1,0.0
Mega Blaziken ex Entei ex,mega-blaziken-ex-b1-entei-ex-a4a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Skarmory ex Magnezone,skarmory-ex-a4-magnezone-b1a,0,1,0,0.0,1,0.0
Starmie ex Articuno ex,starmie-ex-articuno-ex-a1,0,1,0,0.0,1,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,0,0,1,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex,mega-kangaskhan-ex-b2,0,1,0,0.0,1,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,6,0,14.29,7,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,2,5,1,25.0,8,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,1,2,1,25.0,4,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,9,23,0,28.13,32,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,3,6,1,30.0,10,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,4,6,3,30.77,13,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,1,2,0,33.33,3,0.0
Skeledirge Mega Blaziken ex,skeledirge-b2a-mega-blaziken-ex-b1,1,2,0,33.33,3,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,4,0,33.33,6,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,9,15,1,36.0,25,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,2,3,0,40.0,5,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,2,3,0,40.0,5,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,1,1,0,50.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,2,2,0,50.0,4,0.0
Mega Altaria ex Jirachi,mega-altaria-ex-jirachi-b1,1,1,0,50.0,2,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,7,5,0,58.33,12,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,3,2,0,60.0,5,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,11,4,2,64.71,17,0.0
Flareon ex Skeledirge,flareon-ex-a3b-skeledirge-b2a,1,0,0,100.0,1,0.0
Tinkaton ex Pichu,tinkaton-ex-a2b-pichu-a4,1,0,0,100.0,1,0.0
Mega Blastoise ex Baxcalibur,mega-blastoise-ex-b1a-baxcalibur-b2a,1,0,0,100.0,1,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,1,0,0,100.0,1,0.0
Mega Kangaskhan ex Arceus ex,mega-kangaskhan-ex-b2-arceus-ex-a2a,1,0,0,100.0,1,0.0
Chandelure,chandelure-b2,1,0,0,100.0,1,0.0
Gholdengo ex Galarian Perrserker,gholdengo-ex-b2a-galarian-perrserker-b2,2,0,0,100.0,2,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,2,0,0,100.0,2,0.0
Mega Altaria ex,mega-altaria-ex-b1,2,0,0,100.0,2,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,2,0,0,100.0,2,0.0
Bellibolt ex Jolteon ex,bellibolt-ex-b2a-jolteon-ex-b1,1,0,0,100.0,1,0.0
Chien-Pao ex Baxcalibur,chien-pao-ex-baxcalibur-b2a,1,0,0,100.0,1,0.0
Gigalith ex,gigalith-ex-b2,1,0,0,100.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,1,0,0,100.0,1,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,1,0,0,100.0,1,0.0
