opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Venusaur ex Chingling,mega-venusaur-ex-b1a-chingling-b1,0,2,0,0.0,2,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Magnezone Banette,magnezone-b1a-banette-a3,0,0,1,0.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,0,1,0,0.0,1,0.0
Mega Steelix ex Skarmory,mega-steelix-ex-b1a-skarmory-a2,0,1,0,0.0,1,0.0
Hydreigon Nihilego,hydreigon-b1-nihilego-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,0,1,0,0.0,1,0.0
Ho-Oh ex Dragonite,ho-oh-ex-a4-dragonite-a1,0,1,0,0.0,1,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,1,0,0.0,1,0.0
Greninja ex Suicune ex,greninja-ex-b1-suicune-ex-a4a,0,1,0,0.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Tinkaton ex Dialga ex,tinkaton-ex-a2b-dialga-ex-a2,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,1,0,0.0,1,0.0
Celebi ex Serperior,celebi-ex-serperior-a1a,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,1,0,0.0,1,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,1,7,1,11.11,9,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,1,5,0,16.67,6,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,4,0,20.0,5,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,11,24,0,31.43,35,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,2,0,33.33,3,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,14,16,1,45.16,31,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,2,2,0,50.0,4,0.0
