opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,0,2,0,0.0,2,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Tinkaton ex Dialga ex,tinkaton-ex-a2b-dialga-ex-a2,0,1,0,0.0,1,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,0,1,0,0.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,1,0,0.0,1,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,1,1,1,33.33,3,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,2,4,0,33.33,6,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,2,2,0,50.0,4,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,1,0,0,100.0,1,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,1,0,0,100.0,1,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,0,0,100.0,1,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,0,0,100.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,1,0,0,100.0,1,0.0
