opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,0,3,1,0.0,4,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,0,2,0,0.0,2,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,2,0,0.0,2,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,0,3,0,0.0,3,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,2,0,0.0,2,0.0
Mega Lopunny ex Tyrogue,mega-lopunny-ex-b1a-tyrogue-a4,0,1,0,0.0,1,0.0
Guzzlord ex Smeargle,guzzlord-ex-a3a-smeargle-b2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,1,0,0.0,1,0.0
Maushold,maushold-b2,0,1,0,0.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,0,1,0,0.0,1,0.0
Infernape ex Moltres ex,infernape-ex-a2-moltres-ex-a1,0,1,0,0.0,1,0.0
Naganadel Guzzlord ex,naganadel-guzzlord-ex-a3a,0,1,0,0.0,1,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,0,1,0,0.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,0,1,0,0.0,1,0.0
Armarouge ex Skeledirge,armarouge-ex-skeledirge-b2a,0,1,0,0.0,1,0.0
Wishiwashi ex Wishiwashi,wishiwashi-ex-wishiwashi-a3,0,1,0,0.0,1,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,0,1,0,0.0,1,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,0,1,0,0.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,0,1,0,0.0,1,0.0
Dustox Teal Mask Ogerpon ex,dustox-b1-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Gyarados Palkia ex,gyarados-a4-palkia-ex-a2,0,1,0,0.0,1,0.0
Meowscarada ex Teal Mask Ogerpon ex,meowscarada-ex-b2a-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Snorlax ex Dragonite,snorlax-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,0,1,0,0.0,1,0.0
Charizard ex Sylveon ex,charizard-ex-a2b-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Jolteon ex Greninja,jolteon-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,1,7,0,12.5,8,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,2,7,0,22.22,9,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,1,3,0,25.0,4,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,3,0,25.0,4,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,2,5,0,28.57,7,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,4,10,0,28.57,14,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,5,10,0,33.33,15,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,2,4,0,33.33,6,0.0
Chandelure Meowth,chandelure-meowth-b2,1,2,0,33.33,3,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,2,4,0,33.33,6,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,7,9,0,43.75,16,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,3,3,0,50.0,6,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,2,0,50.0,4,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,1,0,50.0,2,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,1,1,0,50.0,2,0.0
Vanilluxe Slurpuff,vanilluxe-b2-slurpuff-a3b,1,1,0,50.0,2,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,1,1,0,50.0,2,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,1,1,0,50.0,2,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,1,0,50.0,2,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,2,1,0,66.67,3,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,23,7,0,76.67,30,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,4,1,0,80.0,5,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,5,1,0,83.33,6,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,2,0,0,100.0,2,0.0
Mega Steelix ex Pichu,mega-steelix-ex-b1a-pichu-a4,2,0,0,100.0,2,0.0
Alolan Ninetales ex Crawdaunt,alolan-ninetales-ex-b2-crawdaunt-a4,1,0,0,100.0,1,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,1,0,0,100.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,0,0,100.0,1,0.0
Pawmot Zeraora,pawmot-b2a-zeraora-a3a,1,0,0,100.0,1,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,1,0,0,100.0,1,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,2,0,0,100.0,2,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,2,0,0,100.0,2,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,1,0,0,100.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,0,0,100.0,1,0.0
Pidgeot ex Pidgeot,pidgeot-ex-a1a-pidgeot-a1,1,0,0,100.0,1,0.0
