opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,0,2,0,0.0,2,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,2,0,0.0,2,0.0
Alolan Dugtrio ex Aegislash,alolan-dugtrio-ex-a3a-aegislash-b1,0,1,0,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,2,0,0.0,2,0.0
Entei ex Skeledirge,entei-ex-a4a-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-a2,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Mega Altaria ex Banette,mega-altaria-ex-b1-banette-a3,0,1,0,0.0,1,0.0
Rampardos,rampardos-a2,0,1,0,0.0,1,0.0
Mega Swampert ex Baxcalibur,mega-swampert-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Giratina ex Blissey,giratina-ex-a2b-blissey-a4,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Mega Absol ex,mega-kangaskhan-ex-b2-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Jolteon ex Bellibolt ex,jolteon-ex-b1-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Mega Blaziken ex Skeledirge,mega-blaziken-ex-b1-skeledirge-b2a,0,1,0,0.0,1,0.0
Mega Steelix ex Orthworm,mega-steelix-ex-b1a-orthworm-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Skeledirge Oricorio,skeledirge-b2a-oricorio-b2,0,1,0,0.0,1,0.0
Crobat ex Nihilego,crobat-ex-a4-nihilego-a3a,0,1,0,0.0,1,0.0
Togekiss,togekiss-a2,0,1,0,0.0,1,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,1,4,0,20.0,5,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,2,7,0,22.22,9,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,3,0,25.0,4,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,12,30,0,28.57,42,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,1,2,0,33.33,3,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,2,4,0,33.33,6,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,2,0,33.33,3,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,7,11,0,38.89,18,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,2,3,0,40.0,5,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,11,14,1,42.31,26,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,3,3,1,42.86,7,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,7,8,0,46.67,15,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,1,1,0,50.0,2,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,1,1,0,50.0,2,0.0
Meowscarada ex Decidueye ex,meowscarada-ex-b2a-decidueye-ex-a3,1,1,0,50.0,2,0.0
Mega Swampert ex Milotic,mega-swampert-ex-b2-milotic-a4a,1,1,0,50.0,2,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,1,1,0,50.0,2,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,2,2,0,50.0,4,0.0
Mega Absol ex Darkrai ex,mega-absol-ex-b1-darkrai-ex-a2,1,1,0,50.0,2,0.0
Mega Altaria ex Altaria,mega-altaria-ex-altaria-b1,1,1,0,50.0,2,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,2,2,0,50.0,4,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,25,23,1,51.02,49,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,14,12,0,53.85,26,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,3,2,0,60.0,5,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,27,15,2,61.36,44,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,2,1,0,66.67,3,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,3,1,0,75.0,4,0.0
Oricorio,oricorio-a3,2,0,0,100.0,2,0.0
Bellibolt ex Oricorio,bellibolt-ex-b2a-oricorio-a3,2,0,0,100.0,2,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,2,0,0,100.0,2,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,1,0,0,100.0,1,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,1,0,0,100.0,1,0.0
Silvally Oricorio,silvally-a3a-oricorio-a3,1,0,0,100.0,1,0.0
Mega Blaziken ex Magby,mega-blaziken-ex-b1-magby-a4,1,0,0,100.0,1,0.0
Alolan Ninetales ex Alolan Ninetales,alolan-ninetales-ex-b2-alolan-ninetales-a3,1,0,0,100.0,1,0.0
Serperior Teal Mask Ogerpon ex,serperior-a1a-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,1,0,0,100.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,1,0,0,100.0,1,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Mega Gardevoir ex Arboliva,mega-gardevoir-ex-b2-arboliva-b2a,1,0,0,100.0,1,0.0
Annihilape Mega Lopunny ex,annihilape-b2a-mega-lopunny-ex-b1a,1,0,0,100.0,1,0.0
Mega Gardevoir ex Dusknoir,mega-gardevoir-ex-b2-dusknoir-a2,1,0,0,100.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,1,0,0,100.0,1,0.0
Chandelure Persian,chandelure-persian-b2,1,0,0,100.0,1,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,1,0,0,100.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,0,0,100.0,1,0.0
Jellicent Mega Kangaskhan ex,jellicent-b1-mega-kangaskhan-ex-b2,1,0,0,100.0,1,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,1,0,0,100.0,1,0.0
Lunala ex Giratina ex,lunala-ex-a3-giratina-ex-a2b,1,0,0,100.0,1,0.0
Galarian Obstagoon Darkrai ex,galarian-obstagoon-b2-darkrai-ex-a2,1,0,0,100.0,1,0.0
Mega Gardevoir ex Mimikyu ex,mega-gardevoir-ex-mimikyu-ex-b2,1,0,0,100.0,1,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Gholdengo ex Orthworm,gholdengo-ex-orthworm-b2a,1,0,0,100.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,0,0,100.0,1,0.0
Bellibolt ex,bellibolt-ex-b2a,1,0,0,100.0,1,0.0
Articuno ex Baxcalibur,articuno-ex-a1-baxcalibur-b2a,1,0,0,100.0,1,0.0
Donphan ex,donphan-ex-a4,1,0,0,100.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,0,0,100.0,1,0.0
