opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,0,2,0,0.0,2,0.0
Silvally Rampardos,silvally-a3a-rampardos-a2,0,2,0,0.0,2,0.0
Mega Gardevoir ex Ceruledge,mega-gardevoir-ex-b2-ceruledge-b2a,0,2,0,0.0,2,0.0
Mega Kangaskhan ex Arceus ex,mega-kangaskhan-ex-b2-arceus-ex-a2a,0,1,0,0.0,1,0.0
Pawmot Zeraora,pawmot-b2a-zeraora-a3a,0,1,0,0.0,1,0.0
Jolteon ex Leafeon ex,jolteon-ex-b1-leafeon-ex-a2a,0,1,0,0.0,1,0.0
Skeledirge Magby,skeledirge-b2a-magby-a4,0,1,0,0.0,1,0.0
Blacephalon ex,blacephalon-ex-b2,0,1,0,0.0,1,0.0
Magnezone Heliolisk,magnezone-heliolisk-b1a,0,2,0,0.0,2,0.0
Silvally,silvally-a3a,0,2,0,0.0,2,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,2,0,0.0,2,0.0
Gholdengo ex Gholdengo,gholdengo-ex-b2a-gholdengo-a2b,0,2,0,0.0,2,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,0,2,0,0.0,2,0.0
Palkia ex Baxcalibur,palkia-ex-a2-baxcalibur-b2a,0,0,1,0.0,1,0.0
Stoutland Rampardos,stoutland-a3a-rampardos-a2,0,1,0,0.0,1,0.0
Annihilape Lucario,annihilape-b2a-lucario-a2,0,1,0,0.0,1,0.0
Alolan Ninetales ex Mantyke,alolan-ninetales-ex-b2-mantyke-a4a,0,1,0,0.0,1,0.0
Suicune ex Aurorus,suicune-ex-a4a-aurorus-b2,0,1,0,0.0,1,0.0
Mega Kangaskhan ex Oricorio,mega-kangaskhan-ex-b2-oricorio-a3,0,1,0,0.0,1,0.0
Tapu Koko ex Bellibolt ex,tapu-koko-ex-a3a-bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Annihilape,annihilape-b2a,0,1,0,0.0,1,0.0
Mega Charizard Y ex Blacephalon ex,mega-charizard-y-ex-b1a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,0,1,0,0.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,0,1,0,0.0,1,0.0
Arboliva Mega Gardevoir ex,arboliva-b2a-mega-gardevoir-ex-b2,0,1,0,0.0,1,0.0
Solgaleo ex Cleffa,solgaleo-ex-a3-cleffa-a4,0,1,0,0.0,1,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,0,1,0,0.0,1,0.0
Mega Steelix ex Pichu,mega-steelix-ex-b1a-pichu-a4,0,1,0,0.0,1,0.0
Solgaleo ex Lunala ex,solgaleo-ex-lunala-ex-a3,0,1,0,0.0,1,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Gyarados ex Baxcalibur,mega-gyarados-ex-b1-baxcalibur-b2a,0,1,0,0.0,1,0.0
Pidgeot ex Pidgeot,pidgeot-ex-a1a-pidgeot-a1,0,1,0,0.0,1,0.0
Jolteon ex Greninja,jolteon-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Rampardos Lucario,rampardos-lucario-a2,0,1,0,0.0,1,0.0
Suicune ex Greninja,suicune-ex-a4a-greninja-a1,0,1,0,0.0,1,0.0
Pawmot Plusle,pawmot-b2a-plusle-b2,0,1,0,0.0,1,0.0
Bellibolt ex Magneton,bellibolt-ex-b2a-magneton-a1,0,1,0,0.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,1,0,0.0,1,0.0
Unknown,,0,1,0,0.0,1,0.0
Jumpluff ex Goomy,jumpluff-ex-a4a-goomy-b1,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Suicune ex Mega Swampert ex,suicune-ex-a4a-mega-swampert-ex-b2,0,1,0,0.0,1,0.0
Gholdengo ex Galarian Perrserker,gholdengo-ex-b2a-galarian-perrserker-b2,0,1,0,0.0,1,0.0
Solgaleo ex Skarmory,solgaleo-ex-a3-skarmory-a2,0,1,0,0.0,1,0.0
Mega Steelix ex Mantyke,mega-steelix-ex-b1a-mantyke-a4a,0,1,0,0.0,1,0.0
Mega Altaria ex Elekid,mega-altaria-ex-b1-elekid-a4,0,1,0,0.0,1,0.0
Chandelure Persian,chandelure-b2-persian-a1,0,1,0,0.0,1,0.0
Arceus ex Crobat,arceus-ex-crobat-a2a,0,1,0,0.0,1,0.0
Entei ex Blacephalon ex,entei-ex-a4a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Bellibolt ex,bellibolt-ex-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mimikyu ex,mega-gardevoir-ex-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Pawmot Zeraora,pawmot-a2b-zeraora-a3a,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,8,0,11.11,9,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,7,0,12.5,8,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,5,0,16.67,6,0.0
