opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,2,0,0.0,2,0.0
Cofagrigus Gourgeist,cofagrigus-b1-gourgeist-b2,0,1,0,0.0,1,0.0
Suicune ex Chien-Pao ex,suicune-ex-a4a-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,1,0,0.0,1,0.0
Pichu Oricorio,pichu-a4-oricorio-a3,0,1,0,0.0,1,0.0
Skarmory ex Indeedee ex,skarmory-ex-a4-indeedee-ex-b1,0,1,0,0.0,1,0.0
Gyarados Chien-Pao ex,gyarados-a4-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,0,1,0,0.0,1,0.0
Mega Steelix ex Indeedee ex,mega-steelix-ex-b1a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,0,0,1,0.0,1,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,3,9,0,25.0,12,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,2,3,0,40.0,5,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,5,7,0,41.67,12,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,14,17,1,43.75,32,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,10,11,0,47.62,21,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,2,2,0,50.0,4,0.0
Mega Kangaskhan ex Darkrai ex,mega-kangaskhan-ex-b2-darkrai-ex-a2,1,1,0,50.0,2,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,1,0,50.0,2,0.0
Mega Swampert ex,mega-swampert-ex-b2,1,1,0,50.0,2,0.0
Mimikyu ex Greninja,mimikyu-ex-b2-greninja-a1,1,1,0,50.0,2,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,1,0,50.0,2,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,2,2,0,50.0,4,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,10,8,0,55.56,18,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,11,6,0,64.71,17,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,4,2,0,66.67,6,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,2,1,0,66.67,3,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,2,1,0,66.67,3,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,13,5,0,72.22,18,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,3,1,0,75.0,4,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,10,3,0,76.92,13,0.0
Mega Altaria ex,mega-altaria-ex-b1,2,0,0,100.0,2,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,2,0,0,100.0,2,0.0
Mega Swampert ex Manaphy,mega-swampert-ex-b2-manaphy-a2,1,0,0,100.0,1,0.0
Bellibolt ex Tapu Koko ex,bellibolt-ex-b2a-tapu-koko-ex-a3a,1,0,0,100.0,1,0.0
Darkrai ex Unown,darkrai-ex-a2-unown-a4,1,0,0,100.0,1,0.0
Indeedee ex Mega Altaria ex,indeedee-ex-mega-altaria-ex-b1,1,0,0,100.0,1,0.0
Leafeon ex Celebi ex,leafeon-ex-a2a-celebi-ex-a1a,1,0,0,100.0,1,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,1,0,0,100.0,1,0.0
Skeledirge,skeledirge-b2a,1,0,0,100.0,1,0.0
Mega Absol ex Dusknoir,mega-absol-ex-b1-dusknoir-a2,1,0,0,100.0,1,0.0
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,1,0,0,100.0,1,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,1,0,0,100.0,1,0.0
Mega Gardevoir ex Mew ex,mega-gardevoir-ex-b2-mew-ex-a1a,1,0,0,100.0,1,0.0
Maushold,maushold-b2,1,0,0,100.0,1,0.0
Chandelure Meowth,chandelure-meowth-b2,1,0,0,100.0,1,0.0
Alolan Muk ex Alolan Muk,alolan-muk-ex-a3-alolan-muk-b2,1,0,0,100.0,1,0.0
Porygon-Z Magby,porygon-z-b1a-magby-a4,1,0,0,100.0,1,0.0
Galarian Cursola Giratina ex,galarian-cursola-a4a-giratina-ex-a2b,1,0,0,100.0,1,0.0
Greninja ex Greninja,greninja-ex-b1-greninja-a1,1,0,0,100.0,1,0.0
Jolteon ex Zeraora,jolteon-ex-b1-zeraora-a3a,1,0,0,100.0,1,0.0
Charizard ex Mega Charizard Y ex,charizard-ex-a1-mega-charizard-y-ex-b1a,1,0,0,100.0,1,0.0
Mega Blaziken ex,mega-blaziken-ex-b1,1,0,0,100.0,1,0.0
Snorlax ex Dragonite,snorlax-ex-a3b-dragonite-a1,1,0,0,100.0,1,0.0
Alolan Ninetales ex,alolan-ninetales-ex-b2,1,0,0,100.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,1,0,0,100.0,1,0.0
Wugtrio ex Mantyke,wugtrio-ex-a2b-mantyke-a4a,1,0,0,100.0,1,0.0
Solgaleo ex Lunala ex,solgaleo-ex-lunala-ex-a3,1,0,0,100.0,1,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Chien-Pao ex Alolan Ninetales ex,chien-pao-ex-b2a-alolan-ninetales-ex-b2,1,0,0,100.0,1,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,0,0,100.0,1,0.0
