opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,0,2,1,0.0,3,0.0
Jolteon ex Jolteon,jolteon-ex-b1-jolteon-a3b,0,1,1,0.0,2,0.0
Lunala ex Mimikyu ex,lunala-ex-a3-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,2,7,0,22.22,9,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,1,2,0,33.33,3,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,3,4,1,37.5,8,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,3,4,0,42.86,7,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,1,1,0,50.0,2,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,4,2,0,66.67,6,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,2,0,0,100.0,2,0.0
Chandelure Meowth,chandelure-meowth-b2,2,0,0,100.0,2,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,4,0,0,100.0,4,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Crobat Mega Absol ex,crobat-a2a-mega-absol-ex-b1,1,0,0,100.0,1,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,1,0,0,100.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,2,0,0,100.0,2,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,1,0,0,100.0,1,0.0
Dustox Teal Mask Ogerpon ex,dustox-b1-teal-mask-ogerpon-ex-b2,1,0,0,100.0,1,0.0
Crobat ex Darkrai ex,crobat-ex-a4-darkrai-ex-a2,1,0,0,100.0,1,0.0
Mega Absol ex Dusknoir,mega-absol-ex-b1-dusknoir-a2,1,0,0,100.0,1,0.0
