opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,0,2,1,0.0,3,0.0
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,0,2,0,0.0,2,0.0
Giratina ex Darkrai ex,giratina-ex-a2b-darkrai-ex-a2,0,1,1,0.0,2,0.0
Jolteon ex Eevee ex,jolteon-ex-b1-eevee-ex-a3b,0,1,0,0.0,1,0.0
Paldean Clodsire ex Weezing,paldean-clodsire-ex-a2b-weezing-a1,0,1,0,0.0,1,0.0
Charizard ex Entei ex,charizard-ex-a1-entei-ex-a4a,0,1,0,0.0,1,0.0
Crobat ex Mega Absol ex,crobat-ex-a4-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Mega Altaria ex Altaria,mega-altaria-ex-b1-altaria-a4a,0,1,0,0.0,1,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,0,1,0,0.0,1,0.0
Guzzlord ex Indeedee ex,guzzlord-ex-a3a-indeedee-ex-b1,0,1,0,0.0,1,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,1,3,0,25.0,4,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,2,3,0,40.0,5,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,1,1,0,50.0,2,0.0
Leafeon ex Teal Mask Ogerpon ex,leafeon-ex-a2a-teal-mask-ogerpon-ex-b2,1,1,0,50.0,2,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,3,2,0,60.0,5,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,2,0,1,66.67,3,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,4,2,0,66.67,6,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,3,1,0,75.0,4,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Galarian Obstagoon,galarian-obstagoon-b2,1,0,0,100.0,1,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,1,0,0,100.0,1,0.0
Baxcalibur Aurorus,baxcalibur-b2a-aurorus-b2,1,0,0,100.0,1,0.0
Mega Venusaur ex Arboliva,mega-venusaur-ex-b1a-arboliva-b2a,1,0,0,100.0,1,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-a2,1,0,0,100.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,1,0,0,100.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,1,0,0,100.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,1,0,0,100.0,1,0.0
Mega Lopunny ex Annihilape,mega-lopunny-ex-b1a-annihilape-b2a,1,0,0,100.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,1,0,0,100.0,1,0.0
Whimsicott ex Ariados,whimsicott-ex-b1-ariados-b1a,1,0,0,100.0,1,0.0
