opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Swampert ex Manaphy,mega-swampert-ex-b2-manaphy-a2,0,1,0,0.0,1,0.0
Maushold,maushold-b2a,0,1,0,0.0,1,0.0
Bellibolt ex Greninja,bellibolt-ex-b2a-greninja-a1,0,1,0,0.0,1,0.0
Aurorus Baxcalibur,aurorus-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Absol ex Greninja,mega-absol-ex-b1-greninja-a1,0,1,0,0.0,1,0.0
Skarmory ex Arboliva,skarmory-ex-a4-arboliva-b2a,0,1,0,0.0,1,0.0
Pawmot Raikou ex,pawmot-b2a-raikou-ex-a4a,0,1,0,0.0,1,0.0
Armarouge ex Greninja,armarouge-ex-b2a-greninja-a1,0,1,0,0.0,1,0.0
Jumpluff ex Meowth,jumpluff-ex-a4a-meowth-b2,0,1,0,0.0,1,0.0
Quaquaval Delcatty,quaquaval-b2a-delcatty-b1,0,1,0,0.0,1,0.0
Porygon-Z Teal Mask Ogerpon ex,porygon-z-a2-teal-mask-ogerpon-ex-b2,0,1,0,0.0,1,0.0
Charizard ex Sylveon ex,charizard-ex-a2b-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Magnezone Alolan Raichu,magnezone-b1a-alolan-raichu-b2,0,1,0,0.0,1,0.0
Mega Medicham ex Pichu,mega-medicham-ex-p-b-pichu-a4,0,1,0,0.0,1,0.0
Dragalge ex Paldean Clodsire ex,dragalge-ex-b1-paldean-clodsire-ex-a2b,0,1,0,0.0,1,0.0
Skarmory ex,skarmory-ex-a4,0,6,0,0.0,6,0.0
Lunala ex Galarian Cursola,lunala-ex-a3-galarian-cursola-a4a,0,1,0,0.0,1,0.0
Pawmot Zeraora,pawmot-a2b-zeraora-a3a,0,1,0,0.0,1,0.0
Charizard ex Moltres ex,charizard-ex-moltres-ex-a1,0,1,0,0.0,1,0.0
Mega Venusaur ex Venusaur,mega-venusaur-ex-venusaur-b1a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Chien-Pao ex,alolan-ninetales-ex-b2-chien-pao-ex-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Mantyke,alolan-ninetales-ex-b2-mantyke-a4a,0,1,1,0.0,2,0.0
