opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Bellibolt ex Zeraora,bellibolt-ex-b2a-zeraora-a3a,0,5,0,0.0,5,0.0
Skeledirge Blacephalon ex,skeledirge-b2a-blacephalon-ex-b2,0,1,0,0.0,1,0.0
Vanilluxe Alcremie,vanilluxe-b2-alcremie-a3b,0,1,0,0.0,1,0.0
Mega Blaziken ex Heatmor,mega-blaziken-ex-heatmor-b1,0,1,0,0.0,1,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,1,0,0.0,1,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,1,0,0.0,1,0.0
Gholdengo ex Probopass,gholdengo-ex-b2a-probopass-b1a,0,1,0,0.0,1,0.0
Chandelure Meowth,chandelure-meowth-b2,0,1,0,0.0,1,0.0
Mega Steelix ex,mega-steelix-ex-b1a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Arboliva,mega-gardevoir-ex-b2-arboliva-b2a,0,1,0,0.0,1,0.0
Darkrai ex Greninja,darkrai-ex-a2-greninja-a1,0,1,0,0.0,1,0.0
Alolan Ninetales ex Baxcalibur,alolan-ninetales-ex-b2-baxcalibur-b2a,0,1,0,0.0,1,0.0
Mega Gardevoir ex Meloetta,mega-gardevoir-ex-meloetta-b2,0,1,0,0.0,1,0.0
Mega Lopunny ex Lucario,mega-lopunny-ex-b1a-lucario-a2,0,1,0,0.0,1,0.0
Greninja Oricorio,greninja-a1-oricorio-a3,0,1,0,0.0,1,0.0
Magnezone Bellibolt ex,magnezone-b1a-bellibolt-ex-b2a,1,7,0,12.5,8,0.0
Hydreigon Mega Absol ex,hydreigon-mega-absol-ex-b1,2,4,0,33.33,6,0.0
Magnezone Oricorio,magnezone-b1a-oricorio-a3,1,1,0,50.0,2,0.0
Mega Altaria ex Chingling,mega-altaria-ex-chingling-b1,1,1,0,50.0,2,0.0
Mega Altaria ex Greninja,mega-altaria-ex-b1-greninja-a1,3,3,0,50.0,6,0.0
Bellibolt ex Magnezone,bellibolt-ex-b2a-magnezone-b1a,1,1,0,50.0,2,0.0
Mega Altaria ex,mega-altaria-ex-b1,1,1,0,50.0,2,0.0
Greninja Mega Absol ex,greninja-a1-mega-absol-ex-b1,4,2,1,57.14,7,0.0
Mega Charizard Y ex Entei ex,mega-charizard-y-ex-b1a-entei-ex-a4a,2,1,0,66.67,3,0.0
Suicune ex Greninja ex,suicune-ex-a4a-greninja-ex-b1,4,1,0,80.0,5,0.0
Suicune ex Baxcalibur,suicune-ex-a4a-baxcalibur-b2a,4,1,0,80.0,5,0.0
Chandelure Gourgeist,chandelure-gourgeist-b2,1,0,0,100.0,1,0.0
Zapdos ex,zapdos-ex-a1,1,0,0,100.0,1,0.0
Snorlax ex Indeedee ex,snorlax-ex-a3b-indeedee-ex-b1,1,0,0,100.0,1,0.0
Gholdengo ex Dialga ex,gholdengo-ex-b2a-dialga-ex-a2,1,0,0,100.0,1,0.0
Galvantula Greninja,galvantula-a3b-greninja-a1,3,0,0,100.0,3,0.0
Mega Altaria ex Gourgeist,mega-altaria-ex-b1-gourgeist-b2,6,0,0,100.0,6,0.0
Gourgeist Houndstone,gourgeist-b2-houndstone-b2a,1,0,0,100.0,1,0.0
Meowscarada ex Meowscarada,meowscarada-ex-b2a-meowscarada-a2b,1,0,0,100.0,1,0.0
Donphan ex Lucario,donphan-ex-a4-lucario-a2,1,0,0,100.0,1,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,1,0,0,100.0,1,0.0
