opponent_name,opponent_deck_name,wins,losses,ties,win_pct,matches_played,meta_share
Mega Charizard Y ex Charizard ex,mega-charizard-y-ex-b1a-charizard-ex-a1,0,2,0,0.0,2,0.0
Umbreon ex Greninja,umbreon-ex-a4-greninja-a1,0,2,0,0.0,2,0.0
Melmetal ex Melmetal,melmetal-ex-b1-melmetal-a3b,0,2,0,0.0,2,0.0
Mega Venusaur ex,mega-venusaur-ex-b1a,0,2,0,0.0,2,0.0
Bellibolt ex Pichu,bellibolt-ex-b2a-pichu-a4,0,2,0,0.0,2,0.0
Suicune ex Palkia ex,suicune-ex-a4a-palkia-ex-a2,0,2,0,0.0,2,0.0
Pawmot Zeraora,pawmot-b2a-zeraora-a3a,0,2,0,0.0,2,0.0
Decidueye ex Decidueye,decidueye-ex-a3-decidueye-a3a,0,3,0,0.0,3,0.0
Gholdengo ex Skarmory,gholdengo-ex-b2a-skarmory-a2,0,1,0,0.0,1,0.0
Giratina ex Mimikyu ex,giratina-ex-a2b-mimikyu-ex-b2,0,1,0,0.0,1,0.0
Mega Blaziken ex Goomy,mega-blaziken-ex-goomy-b1,0,1,0,0.0,1,0.0
Galarian Obstagoon Mega Absol ex,galarian-obstagoon-b2-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Espeon ex Sylveon ex,espeon-ex-a4-sylveon-ex-a3b,0,1,0,0.0,1,0.0
Blacephalon ex,blacephalon-ex-b2,0,1,0,0.0,1,0.0
Magnezone Oricorio,magnezone-a2-oricorio-a3,0,1,0,0.0,1,0.0
Aerodactyl ex Annihilape,aerodactyl-ex-a1a-annihilape-b2a,0,1,0,0.0,1,0.0
Magnezone Mega Absol ex,magnezone-b1a-mega-absol-ex-b1,0,1,0,0.0,1,0.0
Magnezone Ditto,magnezone-b1a-ditto-a1,0,1,0,0.0,1,0.0
Tyrantrum Chingling,tyrantrum-b2-chingling-b1,0,1,0,0.0,1,0.0
Mega Gardevoir ex Mewtwo ex,mega-gardevoir-ex-b2-mewtwo-ex-a1,0,1,0,0.0,1,0.0
Dragonite ex Dragonite,dragonite-ex-a3b-dragonite-a1,0,1,0,0.0,1,0.0
Chandelure Meloetta,chandelure-meloetta-b2,0,1,0,0.0,1,0.0
Gholdengo ex,gholdengo-ex-b2a,0,1,0,0.0,1,0.0
Alolan Ninetales ex Mantyke,alolan-ninetales-ex-b2-mantyke-a4a,0,1,0,0.0,1,0.0
Bellibolt ex Luxray,bellibolt-ex-b2a-luxray-a2,0,1,0,0.0,1,0.0
Aegislash Genesect,aegislash-b1-genesect-b1a,0,1,0,0.0,1,0.0
Leafeon ex Flareon ex,leafeon-ex-a2a-flareon-ex-a3b,0,1,0,0.0,1,0.0
